Editor,Número de Revistas,Porcentaje
Elsevier,42,4.2
Wiley,20,2.0
Frontiers media s a,13,1.3
Wolters kluwer medknow publications,12,1.2
Bmc,10,1.0
Springeropen,10,1.0
Mdpi ag,9,0.9
Keai communications co ltd,9,0.9
Universidad nacional de colombia,6,0.6
Taylor francis group,6,0.6
Universidad de chile,5,0.5
Sciendo,4,0.4
Universitas gadjah mada,4,0.4
Universitas negeri yogyakarta,4,0.4
Universitat autònoma de barcelona,4,0.4
Iop publishing,4,0.4
Emerald publishing,4,0.4
Sage publishing,4,0.4
De gruyter,4,0.4
Kemerovo state university,4,0.4
Oxford university press,4,0.4
Allameh tabataba i university press,3,0.3
Bmj publishing group,3,0.3
Cambridge university press,3,0.3
Dove medical press,3,0.3
Universitat de valència,3,0.3
Universidad de murcia,3,0.3
Universidad nacional autónoma de méxico,3,0.3
Universidad nacional de educación a distancia,3,0.3
Milano university press,3,0.3
Pensoft publishers,3,0.3
Brill,3,0.3
University of brawijaya,3,0.3
Nature portfolio,3,0.3
Universitas muhammadiyah ponorogo,2,0.2
Conselho nacional de pesquisa e pós graduação em direito,2,0.2
Permanyer,2,0.2
Universidad central del ecuador,2,0.2
Adam mickiewicz university,2,0.2
Universidad centroccidental lisandro alvarado,2,0.2
University of tehran,2,0.2
Universidade estadual paulista,2,0.2
Groupe d etudes et de recherches pour le français langue internationale,2,0.2
Firenze university press,2,0.2
Iran university of medical sciences,2,0.2
Universitat de barcelona,2,0.2
Springer,2,0.2
Universitas muhammadiyah yogyakarta,2,0.2
Universidade federal de viçosa,2,0.2
Universitas negeri malang,2,0.2
Universidade federal do rio de janeiro,2,0.2
Pontificia universidad católica de chile,2,0.2
Iranian research organization for science and technology,2,0.2
Columbia university libraries,2,0.2
University of mazandaran,2,0.2
Open library of humanities,2,0.2
International union of crystallography,2,0.2
Universitas udayana,2,0.2
Thieme medical and scientific publishers pvt ltd,2,0.2
Universidade estadual de maringá,2,0.2
University of são paulo,2,0.2
Science press,2,0.2
Universidad de costa rica,2,0.2
Duke university press,2,0.2
Ieee,2,0.2
University of bologna,2,0.2
Aosis,2,0.2
Universidad césar vallejo,2,0.2
Pontificia universidad católica del perú,2,0.2
Stockholm university press,2,0.2
Openedition,2,0.2
Universidade federal de santa maria,2,0.2
Mashhad university of medical sciences,2,0.2
Consejo superior de investigaciones científicas,2,0.2
Ankara university,2,0.2
Liverpool university press,2,0.2
Oñati international institute for the sociology of law,2,0.2
Universitas brawijaya,2,0.2
Universitas negeri jakarta,2,0.2
Sakarya university,2,0.2
University of the free state,2,0.2
Universidad de buenos aires,2,0.2
Lesya ukrainka volyn national university,2,0.2
Universidade federal fluminense,2,0.2
Universidade de são paulo,2,0.2
Jmir publications,2,0.2
Universidade estadual de ponta grossa,2,0.2
Universidade federal de santa catarina,2,0.2
Universidad nacional de la plata,2,0.2
Ediciones complutense,2,0.2
Universitas muria kudus,2,0.2
Rutgers university libraries,2,0.2
Tehran university of medical sciences,2,0.2
Science press pr china,2,0.2
Akadémiai kiadó,2,0.2
Saratov state university,2,0.2
Umm al qura university,2,0.2
Universidade do estado de santa catarina,2,0.2
Universidad politécnica salesiana,2,0.2
Universidade federal rural do semi árido,1,0.1
