issn_consultado,sherpa_id,titulo_sherpa,editorial,open_access_policy,self_archiving_policy,copyright_policy,embargo_months,preprint_archiving,postprint_archiving,publisher_version_archiving,found_in_sherpa,error,context_name,dominio,total_record_count
2452-5561,,,,,,,,,,,False,,Boletín Jurídico del Observatorio de Libertad Religiosa de América Latina y El Caribe,revistadelaconstruccion.uc.cl,4475
0716-4440;2810-6830,,,,,,,,,,,False,,Apuntes de Teatro,revistaapuntes.uc.cl,1452
0719-3726,,,,,,,,,,,False,,"Sustainability, Agri, Food and Environmental Research-DESCONTINUADA",safer.uct.cl,719
2810-6393,,,,,,,,,,,False,,Diversity Research: Journal of Analysis and Trends,academiaone.org,240
0719-9139,,,,,,,,,,,False,,English Studies in Latin America: A Journal of Cultural and Literary Criticism,esla.letras.uc.cl,231
0716-050X;0718-0705,,,,,,,,,,,False,,Estudios Pedagógicos,revistas.uach.cl,1172
0719-3890,,,,,,,,,,,False,,Chilean Journal of Agricultural & Animal Sciences,revistas.udec.cl,385
0718-5030;2810-6962,,,,,,,,,,,False,,Revista Perspectivas Educacionales (REPED),revistas.umce.cl,163
0034-740X;0718-8994,,,,,,,,,,,False,,Revista Chilena de Entomología,www.biotaxa.org,542
0717-6279,,,,,,,,,,,False,,Proyecciones. Revista de Matemática,www.revistaproyecciones.cl,1251
2810-6377,,,,,,,,,,,False,,Open Academia: Journal of Scholarly Research,academiaone.org,163
0719-6946,,,,,,,,,,,False,,Horizonte de Enfermería,horizonteenfermeria.uc.cl,603
0717-6058,,,,,,,,,,,False,,Anales de Literatura Chilena,analesliteraturachilena.letras.uc.cl,956
0716-1115;0718-3089,,,,,,,,,,,False,,Estudios Públicos,www.estudiospublicos.cl,2145
0718-5758,,,,,,,,,,,False,,Onomázein,analesliteraturachilena.letras.uc.cl,1081
0717-2672,,,,,,,,,,,False,,CUADERNOS DE ARTE,cuadernosdearte.uc.cl,74
0365-7779;0717-8883,,,,,,,,,,,False,,Anales de la Universidad de Chile,anales.uchile.cl,7784
0716-1336;2735-7759,,,,,,,,,,,False,,Cuadernos Médico Sociales,cuadernosms.cl,2039
0718-378X,,,,,,,,,,,False,,"Revista AIDIS de ingeniería y ciencias ambientales: Investigación, desarrollo y práctica",www.revistas.unam.mx,897
0035-0370;2663-0222,,,,,,,,,,,False,,Revista Peruana de Derecho Internacional,spdiojs.org,369
0304-8799;0717-9200,,,,,,,,,,,False,,BOSQUE,revistas.uach.cl,1259
0717-9618;2810-6040,,,,,,,,,,,False,,Revista Chilena de Educación Científica,revistas.umce.cl,115
0048-7651;0718-2295,,,,,,,,,,,False,,Revista Chilena de Literatura,revistaliteratura.uchile.cl,1871
0718-5162,,,,,,,,,,,False,,REXE- Revista de Estudios y Experiencias en Educación,revistas.ucsc.cl,686
0716-5811;0717-621X,,,,,,,,,,,False,,Literatura y Lingüística,ediciones.ucsh.cl,588
0067-9674;0718-9303,,,,,,,,,,,False,,Boletín de Filología,boletinfilologia.uchile.cl,1184
0718-4816,,,,,,,,,,,False,,Revista de otorrinolaringología y cirugía de cabeza y cuello,revistaotorrino-sochiorl.cl,994
2810-6032,,,,,,,,,,,False,,Revista Chilena de Reumatología,revistareumatologia.cl,88
2810-6466,,,,,,,,,,,False,,Progress Annals: Journal of Progressive Research,academiaone.org,174
0717-7917,,,,,,,,,,,False,,Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas,blacpma.ms-editions.cl,439
0719-367X,,,,,,,,,,,False,,Cuadernos.info,cuadernos.info,822
0717-3644;0718-221X,,,,,,,,,,,False,,Maderas-Cienc Tecnol,revistas.ubiobio.cl,875
0719-8213,,,,,,,,,,,False,,Autoctonía. Revista de Ciencias Sociales e Historia,www.autoctonia.cl,275
2735-6027,,,,,,,,,,,False,,Revista Confluencia,revistas.udd.cl,266
0717-7194,,,,,,,,,,,False,,Historia,revistahistoria.uc.cl,911
0716-9108;0717-8832,,,,,,,,,,,False,,Revista de Historia,revistas.udec.cl,524
0719-644X;0719-6458,,,,,,,,,,,False,,Revista Temas Sociológicos,ediciones.ucsh.cl,362
0719-4706,,,,,,,,,,,False,,Revista Inclusiones,revistainclusiones.org,2671
0717-7801;2735-6353,,,,,,,,,,,False,,Revista de Filosofía UCSC,revistas.ucsc.cl,123
0719-6245;0719-7713,,,,,,,,,,,False,,RAN - Revista Academia & Negocios,revistas.udec.cl,171
2810-6385,,,,,,,,,,,False,,Open Herald: Periodical of Methodical Research,academiaone.org,149
0717-9324;0717-9707,,,,,,,,,,,False,,Journal of the Chilean Chemical Society,www.jcchems.com,557
0719-9597,,,,,,,,,,,False,,Observatorio Económico,www.observatorioeconomico.cl,554
0718-915X,,,,,,,,,,,False,,Revista de la Construcción. Journal of Construction,revistadelaconstruccion.uc.cl,459
0717-3652;0719-5281,,,,,,,,,,,False,,Revista Chilena de Salud Pública,revistasaludpublica.uchile.cl,699
0718-5456;0719-8949,,,,,,,,,,,False,,Intus - Legere Historia,intushistoria.uai.cl,396
0718-2228,,,,,,,,,,,False,,Psykhe,ojs.uc.cl,872
2452-610X,,,,,,,,,,,False,,REVISTA CUHSO,cuhso.uct.cl,910
2810-6458,,,,,,,,,,,False,,Wire Insights: Journal of Innovation Insights,academiaone.org,69
0717-5906;1726-569X,,,,,,,,,,,False,,Acta Bioethica,actabioethica.uchile.cl,859
0716-1832;0719-1243,,,,,,,,,,,False,,Cuadernos de Historia,cuadernosdehistoria.uchile.cl,713
0718-333X,,,,,,,,,,,False,,Neumología Pediátrica,www.neumologia-pediatrica.cl,372
0716-498X;0718-2376,,,,,,,,,,,False,,Universum (Talca. En línea),universum.utalca.cl,193
0719-3092,,,,,,,,,,,False,,Revista nuestrAmérica,nuestramerica.cl,327
0716-1840;0718-0462,,,,,,,,,,,False,,Atenea,revistas.udec.cl,6272
0717-9553,,,,,,,,,,,False,,Ciencia y Enfermería,revistas.udec.cl,751
0716-0542;0719-5443,,,,,,,,,,,False,,Lenguas Modernas,lenguasmodernas.uchile.cl,664
0716-2065;0717-7348,,,,,,,,,,,False,,Revista Chilena de Enfermedades Respiratorias,revchilenfermrespir.cl,791
2452-574X,,,,,,,,,,,False,,Sur y Tiempo: Revista de Historia de América,revistas.uv.cl,104
2735-6825,,,,,,,,,,,False,,Taller de Letras,tallerdeletras.letras.uc.cl,432
0718-2724,,,,,,,,,,,False,,Journal of Technology Management & Innovation,www.jotmi.org,960
0719-9740,,,,,,,,,,,False,,Revista Avante de Ciencias Sociales y Humanidades,revista-avante.com,80
0718-1604;2735-6175,,,,,,,,,,,False,,Espacio Regional. Revista de Estudios Sociales,revistas.ulagos.cl,237
