issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error,is_oa,is_in_doaj,apc_usd,apc_prices,host_organization_name,host_organization,societies,i10_index,is_core,counts_by_year,created_date,updated_date,display_name,homepage_url,country_code,type,abbreviated_title,alternate_titles,context_name,dominio,total_historico,record_count_2023,indice_visibilidad,tasa_indexacion_openalex
2452-5561,,0,0,0,0.0,False,,False,False,,[],,,[],0,False,[],,,,,,,,[],Boletín Jurídico del Observatorio de Libertad Religiosa de América Latina y El Caribe,revistadelaconstruccion.uc.cl,4475,2681,0.0,0.0
0716-4440;2810-6830,S4394736586,508,6,1,0.011811023622047244,True,Unexpected error: 'NoneType' object is not iterable,False,False,,,,,[],0,False,[],2018-04-24T00:00:00,2025-10-27T03:07:04.448195,Apuntes de Teatro,,,journal,,[],Apuntes de Teatro,revistaapuntes.uc.cl,1452,1018,0.004132231404958678,0.349862258953168
0719-3726,S2736865885,719,785,9,0.6675062972292192,True,Unexpected error: 'str' object has no attribute 'get',True,False,,[],,,[],8,False,[],2025-10-10T00:00:00,2025-10-27T03:07:04.448195,Sustainability Agri Food and Environmental Research,http://portalrevistas.uct.cl/index.php/safer,,journal,,[],"Sustainability, Agri, Food and Environmental Research-DESCONTINUADA",safer.uct.cl,719,702,1.0917941585535467,1.0
2810-6393,,0,0,0,0.0,False,,False,False,,[],,,[],0,False,[],,,,,,,,[],Diversity Research: Journal of Analysis and Trends,academiaone.org,240,153,0.0,0.0
0719-9139,S4389158279,75,1,1,0.013513513513513514,True,Unexpected error: 'NoneType' object is not iterable,True,False,,,,,[],0,False,[],2025-10-10T00:00:00,2025-10-27T03:07:04.448195,English Studies in Latin America A Journal of Cultural and Literary Criticism,,,journal,,[],English Studies in Latin America: A Journal of Cultural and Literary Criticism,esla.letras.uc.cl,231,119,0.004329004329004329,0.3246753246753247
0716-050X;0718-0705,S4210230295,1241,12642,44,0.4644808743169399,True,Unexpected error: 'str' object has no attribute 'get',True,False,,[],,,[],389,False,[],2025-10-10T00:00:00,2025-10-29T23:22:22.306208,Estudios pedagógicos,http://www.scielo.cl/estped.htm,,journal,,[],Estudios Pedagógicos,revistas.uach.cl,1172,113,10.786689419795222,1.0588737201365188
0719-3890,S4210172773,344,805,11,0.46153846153846156,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],16,False,[],2025-10-10T00:00:00,2025-10-27T03:07:04.448195,Chilean journal of agricultural & animal science,,,journal,,[],Chilean Journal of Agricultural & Animal Sciences,revistas.udec.cl,385,105,2.090909090909091,0.8935064935064935
0718-5030;2810-6962,,0,0,0,0.0,False,,False,False,,[],,,[],0,False,[],,,,,,,,[],Revista Perspectivas Educacionales (REPED),revistas.umce.cl,163,103,0.0,0.0
0034-740X;0718-8994,S4210172032,673,929,11,0.3302752293577982,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],12,False,[],2016-06-24T00:00:00,2025-10-30T23:39:23.326872,REVISTA CHILENA DE ENTOMOLOGÍA,http://www.biotaxa.org/rce,,journal,,[],Revista Chilena de Entomología,www.biotaxa.org,542,95,1.7140221402214022,1.2416974169741697
0717-6279,S4210193274,1516,3308,21,0.36585365853658536,True,,True,False,,[],,,[],79,True,"[{'year': 1992, 'works_count': 6, 'cited_by_count': 0}, {'year': 1991, 'works_count': 3, 'cited_by_count': 0}, {'year': 1990, 'works_count': 5, 'cited_by_count': 0}, {'year': 1988, 'works_count': 5, 'cited_by_count': 2}, {'year': 1987, 'works_count': 2, 'cited_by_count': 0}, {'year': 1986, 'works_count': 8, 'cited_by_count': 0}, {'year': 1985, 'works_count': 3, 'cited_by_count': 0}, {'year': 1984, 'works_count': 4, 'cited_by_count': 0}, {'year': 1983, 'works_count': 5, 'cited_by_count': 0}, {'year': 1982, 'works_count': 5, 'cited_by_count': 0}]",2025-10-10T00:00:00,2025-10-30T23:39:23.326872,Proyecciones (Antofagasta),http://www.scielo.cl/proy.htm,,journal,,['Revista de matemática'],Proyecciones. Revista de Matemática,www.revistaproyecciones.cl,1251,91,2.6442845723421264,1.2118305355715429
