nombre_revista,issn_original,url_ojs,institucion,region,issn_buscado,crossref_id,is_in_crossref,error,last_status_check_time,current_dois,backfile_dois,total_dois,affiliations_current,abstracts_current,licenses_current,orcids_current,update_policies_current,ror_ids_current,similarity_checking_current,funders_current,award_numbers_current,references_current,affiliations_backfile,abstracts_backfile,licenses_backfile,orcids_backfile,update_policies_backfile,ror_ids_backfile,similarity_checking_backfile,funders_backfile,award_numbers_backfile,references_backfile,has_preprints,is_preprint_count,has_versions,is_version_count,replacement_relations,same_as_relations,total_version_relations,title,publisher,subject,flags,breakdowns
Boletín Jurídico del Observatorio de Libertad Religiosa de América Latina y El Caribe,2452-5561,,,,2452-5561,,False,Journal not found in Crossref,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,[],[],{}
Apuntes de Teatro,0716-4440;2810-6830,,,,0716-4440;2810-6830,0716-4440,True,,1763860821297.0,510,0,510,0.0,1.0,1.0,0.0,0.0,0.0,0.996078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Apuntes de Teatro,Pontificia Universidad Catolica de Chile,[],"{'deposits-abstracts-current': True, 'deposits-orcids-current': False, 'deposits': True, 'deposits-affiliations-backfile': False, 'deposits-update-policies-backfile': False, 'deposits-similarity-checking-backfile': False, 'deposits-award-numbers-current': False, 'deposits-resource-links-current': True, 'deposits-ror-ids-current': False, 'deposits-articles': True, 'deposits-affiliations-current': False, 'deposits-funders-current': False, 'deposits-references-backfile': False, 'deposits-ror-ids-backfile': False, 'deposits-abstracts-backfile': False, 'deposits-licenses-backfile': False, 'deposits-award-numbers-backfile': False, 'deposits-descriptions-current': False, 'deposits-references-current': False, 'deposits-resource-links-backfile': False, 'deposits-descriptions-backfile': False, 'deposits-orcids-backfile': False, 'deposits-funders-backfile': False, 'deposits-update-policies-current': False, 'deposits-similarity-checking-current': True, 'deposits-licenses-current': True}","{'dois-by-issued-year': [[2023, 345], [2024, 163], [2025, 2]]}"
"Sustainability, Agri, Food and Environmental Research-DESCONTINUADA",0719-3726,,,,0719-3726,0719-3726,True,,1763858477318.0,453,265,718,0.0,1.0,1.0,0.01103752759381898,0.0,0.0,0.9933774834437086,0.0,0.0,0.0,0.0,0.781132075471698,0.3471698113207547,0.04150943396226415,0.0,0.0,0.9811320754716981,0.0,0.0,0.0,0,0,0,0,0,0,0,Sustainability Agri Food and Environmental Research-DISCONTINUED,Universidad Catolica de Temuco,[],"{'deposits-abstracts-current': True, 'deposits-orcids-current': True, 'deposits': True, 'deposits-affiliations-backfile': False, 'deposits-update-policies-backfile': False, 'deposits-similarity-checking-backfile': True, 'deposits-award-numbers-current': False, 'deposits-resource-links-current': True, 'deposits-ror-ids-current': False, 'deposits-articles': True, 'deposits-affiliations-current': False, 'deposits-funders-current': False, 'deposits-references-backfile': False, 'deposits-ror-ids-backfile': False, 'deposits-abstracts-backfile': True, 'deposits-licenses-backfile': True, 'deposits-award-numbers-backfile': False, 'deposits-descriptions-current': False, 'deposits-references-current': False, 'deposits-resource-links-backfile': True, 'deposits-descriptions-backfile': False, 'deposits-orcids-backfile': True, 'deposits-funders-backfile': False, 'deposits-update-policies-current': False, 'deposits-similarity-checking-current': True, 'deposits-licenses-current': True}","{'dois-by-issued-year': [[2023, 437], [2021, 80], [2015, 31], [2017, 30], [2020, 26], [2019, 26], [2018, 25], [2014, 19], [2016, 17], [2024, 16], [2013, 11]]}"
Comunicaciones: una revista de geología andina,Sin ISSN,,,,Sin ISSN,,False,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,[],[],{}
Boletín de la Universidad de Chile,Sin ISSN,,,,Sin ISSN,,False,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,[],[],{}
Diversity Research: Journal of Analysis and Trends,2810-6393,,,,2810-6393,,False,Journal not found in Crossref,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,[],[],{}
English Studies in Latin America: A Journal of Cultural and Literary Criticism,0719-9139,,,,0719-9139,0719-9139,True,,1763860789367.0,74,1,75,0.0,0.7567567567567568,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,English Studies in Latin America A Journal of Cultural and Literary Criticism,Pontificia Universidad Catolica de Chile,[],"{'deposits-abstracts-current': True, 'deposits-orcids-current': False, 'deposits': True, 'deposits-affiliations-backfile': False, 'deposits-update-policies-backfile': False, 'deposits-similarity-checking-backfile': True, 'deposits-award-numbers-current': False, 'deposits-resource-links-current': True, 'deposits-ror-ids-current': False, 'deposits-articles': True, 'deposits-affiliations-current': False, 'deposits-funders-current': False, 'deposits-references-backfile': False, 'deposits-ror-ids-backfile': False, 'deposits-abstracts-backfile': True, 'deposits-licenses-backfile': True, 'deposits-award-numbers-backfile': False, 'deposits-descriptions-current': False, 'deposits-references-current': False, 'deposits-resource-links-backfile': True, 'deposits-descriptions-backfile': False, 'deposits-orcids-backfile': False, 'deposits-funders-backfile': False, 'deposits-update-policies-current': False, 'deposits-similarity-checking-current': True, 'deposits-licenses-current': True}","{'dois-by-issued-year': [[2023, 46], [2025, 19], [2024, 9], [2011, 1]]}"
Estudios Pedagógicos,0716-050X;0718-0705,,,,0716-050X;0718-0705,0718-0705,True,Journal not found in Crossref,1763943676978.0,189,1053,1242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Estudios pedagógicos (Valdivia),SciELO Agencia Nacional de Investigación y Desarrollo (ANID),[],"{'deposits-abstracts-current': False, 'deposits-orcids-current': False, 'deposits': True, 'deposits-affiliations-backfile': False, 'deposits-update-policies-backfile': False, 'deposits-similarity-checking-backfile': False, 'deposits-award-numbers-current': False, 'deposits-resource-links-current': False, 'deposits-ror-ids-current': False, 'deposits-articles': True, 'deposits-affiliations-current': False, 'deposits-funders-current': False, 'deposits-references-backfile': False, 'deposits-ror-ids-backfile': False, 'deposits-abstracts-backfile': False, 'deposits-licenses-backfile': False, 'deposits-award-numbers-backfile': False, 'deposits-descriptions-current': False, 'deposits-references-current': False, 'deposits-resource-links-backfile': False, 'deposits-descriptions-backfile': False, 'deposits-orcids-backfile': False, 'deposits-funders-backfile': False, 'deposits-update-policies-current': False, 'deposits-similarity-checking-current': False, 'deposits-licenses-current': False}","{'dois-by-issued-year': [[2016, 103], [2023, 90], [2022, 88], [2021, 83], [2017, 83], [2020, 68], [2014, 67], [2012, 66], [2015, 62], [2024, 61], [2018, 61], [2013, 58], [2019, 45], [2011, 41], [2025, 38], [2010, 35], [2009, 34], [2008, 27], [2005, 20], [2007, 17], [2006, 16], [2002, 14], [2000, 12], [2003, 11], [1998, 10], [2001, 9], [1997, 9], [2004, 7], [1999, 7]]}"
MGC / Revista de Gestión Cultural,Sin ISSN,,,,Sin ISSN,,False,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,[],[],{}
Chilean Journal of Agricultural & Animal Sciences,0719-3890,,,,0719-3890,0719-3890,True,,1763858199399.0,130,214,344,1.0,1.0,0.0,0.9692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.05607476635514019,0.05607476635514019,0.0,0.05607476635514019,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Chilean journal of agricultural & animal sciences,Universidad de Concepcion,[],"{'deposits-abstracts-current': True, 'deposits-orcids-current': True, 'deposits': True, 'deposits-affiliations-backfile': True, 'deposits-update-policies-backfile': False, 'deposits-similarity-checking-backfile': False, 'deposits-award-numbers-current': False, 'deposits-resource-links-current': False, 'deposits-ror-ids-current': False, 'deposits-articles': True, 'deposits-affiliations-current': True, 'deposits-funders-current': False, 'deposits-references-backfile': False, 'deposits-ror-ids-backfile': False, 'deposits-abstracts-backfile': True, 'deposits-licenses-backfile': False, 'deposits-award-numbers-backfile': False, 'deposits-descriptions-current': False, 'deposits-references-current': False, 'deposits-resource-links-backfile': False, 'deposits-descriptions-backfile': False, 'deposits-orcids-backfile': True, 'deposits-funders-backfile': False, 'deposits-update-policies-current': False, 'deposits-similarity-checking-current': False, 'deposits-licenses-current': False}","{'dois-by-issued-year': [[2024, 57], [2023, 43], [2022, 35], [2021, 33], [2017, 32], [2019, 31], [2025, 30], [2020, 29], [2018, 28], [2016, 26]]}"
Revista Perspectivas Educacionales (REPED),0718-5030;2810-6962,,,,0718-5030;2810-6962,,False,Journal not found in Crossref,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,[],[],{}
Revista Chilena de Entomología,0034-740X;0718-8994,,,,0034-740X;0718-8994,0034-740X,True,,1763859026704.0,218,353,571,0.0,0.9403669724770642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5495750708215297,0.0,0.008498583569405098,0.0,0.0,0.0028328611898017,0.0,0.0,0.0,0,0,0,0,0,0,0,REVISTA CHILENA DE ENTOMOLOGÍA,Sociedad Chilena de Entomologia,[],"{'deposits-abstracts-current': True, 'deposits-orcids-current': False, 'deposits': True, 'deposits-affiliations-backfile': False, 'deposits-update-policies-backfile': False, 'deposits-similarity-checking-backfile': True, 'deposits-award-numbers-current': False, 'deposits-resource-links-current': False, 'deposits-ror-ids-current': False, 'deposits-articles': True, 'deposits-affiliations-current': False, 'deposits-funders-current': False, 'deposits-references-backfile': False, 'deposits-ror-ids-backfile': False, 'deposits-abstracts-backfile': True, 'deposits-licenses-backfile': False, 'deposits-award-numbers-backfile': False, 'deposits-descriptions-current': False, 'deposits-references-current': False, 'deposits-resource-links-backfile': False, 'deposits-descriptions-backfile': False, 'deposits-orcids-backfile': True, 'deposits-funders-backfile': False, 'deposits-update-policies-current': False, 'deposits-similarity-checking-current': False, 'deposits-licenses-current': False}","{'dois-by-issued-year': [[2020, 95], [2022, 91], [2021, 91], [2023, 89], [2019, 76], [2024, 74], [2025, 55]]}"
Proyecciones. Revista de Matemática,0717-6279,,,,0717-6279,0717-6279,True,,1763943674967.0,302,1217,1519,0.0,0.956953642384106,0.956953642384106,0.2649006622516556,0.0,0.0,0.956953642384106,0.0,0.0,0.1026490066225166,0.0,0.7855382087099425,0.3894823336072309,0.2358258011503698,0.0,0.0,0.772391125718981,0.0,0.0,0.06409202958093672,0,0,0,0,0,0,0,Proyecciones (Antofagasta),Universidad Catolica del Norte - Chile,[],"{'deposits-abstracts-current': True, 'deposits-orcids-current': True, 'deposits': True, 'deposits-affiliations-backfile': False, 'deposits-update-policies-backfile': False, 'deposits-similarity-checking-backfile': True, 'deposits-award-numbers-current': False, 'deposits-resource-links-current': True, 'deposits-ror-ids-current': False, 'deposits-articles': True, 'deposits-affiliations-current': False, 'deposits-funders-current': False, 'deposits-references-backfile': True, 'deposits-ror-ids-backfile': False, 'deposits-abstracts-backfile': True, 'deposits-licenses-backfile': True, 'deposits-award-numbers-backfile': False, 'deposits-descriptions-current': False, 'deposits-references-current': True, 'deposits-resource-links-backfile': True, 'deposits-descriptions-backfile': False, 'deposits-orcids-backfile': True, 'deposits-funders-backfile': False, 'deposits-update-policies-current': False, 'deposits-similarity-checking-current': True, 'deposits-licenses-current': True}","{'dois-by-issued-year': [[2018, 348], [2017, 254], [2025, 120], [2021, 111], [2020, 107], [2019, 99], [2023, 97], [2022, 92], [2024, 85], [2011, 50], [2013, 33], [2012, 27], [2000, 15], [2010, 6], [1983, 5], [1999, 4], [1986, 4], [1984, 4], [1982, 4], [2015, 3], [2008, 3], [2005, 3], [2002, 3], [1998, 3], [1997, 3], [1996, 3], [1995, 3], [1994, 3], [1993, 3], [1992, 3], [1988, 3], [1985, 3], [2006, 2], [2001, 2], [1991, 2], [1990, 2], [1987, 2], [2016, 1], [2014, 1], [2009, 1], [2004, 1], [2003, 1]]}"
Open Academia: Journal of Scholarly Research,2810-6377,,,,2810-6377,,False,Journal not found in Crossref,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,[],[],{}
Horizonte de Enfermería,0719-6946,,,,0719-6946,0719-6946,True,,1763857902599.0,0,141,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8652482269503546,0.0,0.0,0.0,0,0,0,0,0,0,0,Horizonte de enfermeria,Pontificia Universidad Catolica de Chile,[],"{'deposits-abstracts-current': False, 'deposits-orcids-current': False, 'deposits': True, 'deposits-affiliations-backfile': False, 'deposits-update-policies-backfile': False, 'deposits-similarity-checking-backfile': True, 'deposits-award-numbers-current': False, 'deposits-resource-links-current': False, 'deposits-ror-ids-current': False, 'deposits-articles': True, 'deposits-affiliations-current': False, 'deposits-funders-current': False, 'deposits-references-backfile': False, 'deposits-ror-ids-backfile': False, 'deposits-abstracts-backfile': False, 'deposits-licenses-backfile': False, 'deposits-award-numbers-backfile': False, 'deposits-descriptions-current': False, 'deposits-references-current': False, 'deposits-resource-links-backfile': False, 'deposits-descriptions-backfile': False, 'deposits-orcids-backfile': False, 'deposits-funders-backfile': False, 'deposits-update-policies-current': False, 'deposits-similarity-checking-current': False, 'deposits-licenses-current': False}","{'dois-by-issued-year': [[2010, 27], [2012, 23], [2008, 21], [2011, 15], [2015, 13], [2013, 11], [2009, 11], [2016, 10], [2014, 9], [2019, 1]]}"
Anales de Literatura Chilena,0717-6058,,,,0717-6058,0717-6058,True,,1763860499649.0,123,2,125,0.0,1.0,1.0,0.01626016260162602,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,Anales de Literatura Chilena,Pontificia Universidad Catolica de Chile,[],"{'deposits-abstracts-current': True, 'deposits-orcids-current': True, 'deposits': True, 'deposits-affiliations-backfile': False, 'deposits-update-policies-backfile': False, 'deposits-similarity-checking-backfile': True, 'deposits-award-numbers-current': False, 'deposits-resource-links-current': True, 'deposits-ror-ids-current': False, 'deposits-articles': True, 'deposits-affiliations-current': False, 'deposits-funders-current': False, 'deposits-references-backfile': False, 'deposits-ror-ids-backfile': False, 'deposits-abstracts-backfile': True, 'deposits-licenses-backfile': True, 'deposits-award-numbers-backfile': False, 'deposits-descriptions-current': False, 'deposits-references-current': False, 'deposits-resource-links-backfile': True, 'deposits-descriptions-backfile': False, 'deposits-orcids-backfile': False, 'deposits-funders-backfile': False, 'deposits-update-policies-current': False, 'deposits-similarity-checking-current': True, 'deposits-licenses-current': True}","{'dois-by-issued-year': [[2023, 76], [2024, 39], [2025, 8], [2022, 2]]}"
