nombre_revista,issn_original,is_in_crossref,total_dois,current_dois,backfile_dois,abstracts_current,licenses_current,orcids_current,affiliations_current,references_current,display_name,works_count,cited_by_count,h_index,i10_index,is_oa,is_in_doaj,apc_usd,total_errores,porcentaje_resumenes,porcentaje_palabras_clave,porcentaje_referencias,porcentaje_afiliaciones,calidad_dialnet_score,completitud_metadatos_dialnet,visibilidad_openalex,densidad_doi,modernizacion_crossref,madurez_editorial,brecha_visibilidad,coherencia_resumenes,potencial_indexacion,acceso_abierto_integral,nivel1_completitud,nivel1_coherencia,eficiencia_apc,nivel2_visibilidad,nivel3_madurez,oportunidad_mejora,segmento,potencial_combinado
2452-5561,2452-5561,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
Apuntes de Teatro,0716-4440;2810-6830,True,510,510,0,1.0,1.0,0.0,0.0,0.0,Apuntes de Teatro,508.0,6.0,1.0,0.0,False,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.011811023622047244,1.0,0.6666666666666666,0.0,0.00392156862745098,0.8701052631578947,0.20070450907260096,0.3,33.06622807017544,0.8701052631578947,0.0,0.1559055118110236,0.5,0.20070450907260096,Veterana,11.240711193995487
Sustainability Agri Food and Environmental Research-DISCONTINUED,0719-3726,True,718,453,265,1.0,1.0,0.0110375275938189,0.0,0.0,Sustainability Agri Food and Environmental Research,719.0,785.0,9.0,8.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,1.0917941585535467,0.6309192200557103,0.6703458425312729,0.0335009778526902,-0.001392757660167131,0.8701052631578947,0.24538508156670616,0.7,33.06806765810774,0.8701052631578947,0.0,0.8958970792767733,0.3322100989542003,0.24538508156670616,Veterana,11.432058278779571
Sin ISSN,Sin ISSN,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
Sin ISSN,Sin ISSN,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
2810-6393,2810-6393,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
English Studies in Latin America A Journal of Cultural and Literary Criticism,0719-9139,True,75,74,1,0.7567567567567568,1.0,0.0,0.0,0.0,English Studies in Latin America A Journal of Cultural and Literary Criticism,75.0,1.0,1.0,0.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.013333333333333334,0.9866666666666667,0.5855855855855856,0.004158883083359672,0.0,0.8866514935988621,0.17647038928067693,0.7,33.0256875296349,0.8866514935988621,0.0,0.35666666666666663,0.4954127748750132,0.17647038928067693,Veterana,11.292588990392195
Estudios pedagógicos (Valdivia),0716-050X;0718-0705,True,1242,189,1053,0.0,0.0,0.0,0.0,0.0,Estudios pedagógicos,1241.0,12642.0,44.0,389.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,10.186946011281226,0.15217391304347827,0.0,0.04176208637460785,0.0008051529790660225,0.12989473684210529,0.1448848538298117,0.4,32.732894736842105,0.12989473684210529,0.0,5.293473005640613,0.09696799970904306,0.1448848538298117,Problema,12.707778580730588
Sin ISSN,Sin ISSN,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
Chilean journal of agricultural & animal sciences,0719-3890,True,344,130,214,1.0,0.0,0.9692307692307692,1.0,0.0,Chilean journal of agricultural & animal science,344.0,805.0,11.0,16.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,2.3401162790697674,0.37790697674418605,0.6564102564102564,0.032223828168765976,0.0,0.8701052631578947,0.26928341415159834,0.7,33.06109986504723,0.8701052631578947,0.0,1.5200581395348838,0.205065402456476,0.26928341415159834,Problema,11.595407802346196
