"context_name","dominio","issn","record_count_2023","record_count_2022","record_count_2021","record_count_2020","total_historico","activa"
"Boletín Jurídico del Observatorio de Libertad Religiosa de América Latina y El Caribe","revistadelaconstruccion.uc.cl","2452-5561",2681,983,0,15,4475,TRUE
"Apuntes de Teatro","revistaapuntes.uc.cl","0716-4440;2810-6830",1018,22,19,16,1452,TRUE
"Sustainability, Agri, Food and Environmental Research-DESCONTINUADA","safer.uct.cl","0719-3726",702,0,0,0,719,TRUE
"Comunicaciones: una revista de geología andina","revistasdex.uchile.cl","Sin ISSN",347,4,0,0,351,TRUE
"Boletín de la Universidad de Chile","revistasdex.uchile.cl","Sin ISSN",160,242,0,0,2091,TRUE
"Diversity Research: Journal of Analysis and Trends","academiaone.org","2810-6393",153,0,0,0,240,TRUE
"English Studies in Latin America: A Journal of Cultural and Literary Criticism","esla.letras.uc.cl","0719-9139",119,11,10,15,231,TRUE
"Estudios Pedagógicos","revistas.uach.cl","0716-050X;0718-0705",113,84,65,69,1172,TRUE
"MGC / Revista de Gestión Cultural","revistasdex.uchile.cl","Sin ISSN",112,0,0,0,442,TRUE
"Chilean Journal of Agricultural & Animal Sciences","revistas.udec.cl","0719-3890",105,35,32,32,385,TRUE
"Revista Perspectivas Educacionales (REPED)","revistas.umce.cl","0718-5030;2810-6962",103,60,0,0,163,TRUE
"Proyecciones. Revista de Matemática","www.revistaproyecciones.cl","0717-6279",91,85,83,100,1251,TRUE
"Open Academia: Journal of Scholarly Research","academiaone.org","2810-6377",88,0,0,0,163,TRUE
"Horizonte de Enfermería","horizonteenfermeria.uc.cl","0719-6946",83,9,28,73,603,TRUE
"Anales de Literatura Chilena","analesliteraturachilena.letras.uc.cl","0717-6058",82,259,79,20,956,TRUE
"Estudios Públicos","www.estudiospublicos.cl","0716-1115;0718-3089",75,44,49,27,2145,TRUE
"Onomázein","analesliteraturachilena.letras.uc.cl","0718-5758",74,81,54,78,1081,TRUE
"CUADERNOS DE ARTE","cuadernosdearte.uc.cl","0717-2672",74,0,0,0,74,TRUE
"Anales de la Universidad de Chile","anales.uchile.cl","0365-7779;0717-8883",73,26,30,28,7784,TRUE
"Cuadernos Médico Sociales","cuadernosms.cl","0716-1336;2735-7759",72,99,39,59,2039,TRUE
"Revista AIDIS de ingeniería y ciencias ambientales: Investigación, desarrollo y práctica","www.revistas.unam.mx","0718-378X",69,104,101,81,897,TRUE
"Revista Peruana de Derecho Internacional","spdiojs.org","0035-0370;2663-0222",69,48,55,53,369,TRUE
"BOSQUE","revistas.uach.cl","0304-8799;0717-9200",68,18,33,36,1259,TRUE
"Revista Chilena de Educación Científica","revistas.umce.cl","0717-9618;2810-6040",68,9,0,0,115,TRUE
"Revista Chilena de Literatura","revistaliteratura.uchile.cl","0048-7651;0718-2295",67,73,86,58,1871,TRUE
"REXE- Revista de Estudios y Experiencias en Educación","revistas.ucsc.cl","0718-5162",66,78,53,6,686,TRUE
"Literatura y Lingüística","ediciones.ucsh.cl","0716-5811;0717-621X",63,45,24,43,588,TRUE
"Boletín de Filología","boletinfilologia.uchile.cl","0067-9674;0718-9303",62,18,38,50,1184,TRUE
"Revista de otorrinolaringología y cirugía de cabeza y cuello","revistaotorrino-sochiorl.cl","0718-4816",56,175,0,0,994,TRUE
"Revista Chilena de Reumatología","revistareumatologia.cl","2810-6032",56,12,0,0,88,TRUE
"Progress Annals: Journal of Progressive Research","academiaone.org","2810-6466",53,0,0,0,174,TRUE
"Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas","blacpma.ms-editions.cl","0717-7917",52,55,64,52,439,TRUE
"Cuadernos.info","cuadernos.info","0719-367X",52,37,74,73,822,TRUE
"Maderas-Cienc Tecnol","revistas.ubiobio.cl","0717-3644;0718-221X",51,48,75,59,875,TRUE
"Autoctonía. Revista de Ciencias Sociales e Historia","www.autoctonia.cl","0719-8213",51,43,33,23,275,TRUE
"Revista Confluencia","revistas.udd.cl","2735-6027",51,53,52,84,266,TRUE
"Historia","revistahistoria.uc.cl","0717-7194",51,46,20,26,911,TRUE
"Revista de Historia","revistas.udec.cl","0716-9108;0717-8832",49,49,135,29,524,TRUE
