oai_url,mensaje_error
https://revistadelaconstruccion.uc.cl/index.php/index/oai,Error al consultar la configuración de la revista: Error al leer el XML
https://revistaapuntes.uc.cl/index.php/index/oai,Error al consultar la configuración de la revista: Error al leer el XML
https://safer.uct.cl/index.php/index/oai,Error al consultar la configuración de la revista: Error al leer el XML
https://revistasdex.uchile.cl/index.php/index/oai,
https://academiaone.org/index.php/index/oai,
https://esla.letras.uc.cl/index.php/index/oai,Error al consultar la configuración de la revista: Error al leer el XML
https://revistas.uach.cl/index.php/index/oai,
https://revistas.udec.cl/index.php/index/oai,Error al consultar la configuración de la revista: Error al leer el XML
https://revistas.umce.cl/index.php/index/oai,
https://www.revistaproyecciones.cl/index.php/index/oai,Error al consultar la configuración de la revista: Error al leer el XML
https://horizonteenfermeria.uc.cl/index.php/index/oai,Error al consultar la configuración de la revista: Error al leer el XML
https://analesliteraturachilena.letras.uc.cl/index.php/index/oai,Error al consultar la configuración de la revista: Error al leer el XML
https://www.estudiospublicos.cl/index.php/index/oai,
https://cuadernosdearte.uc.cl/index.php/index/oai,Error al consultar la configuración de la revista: Error al leer el XML
https://anales.uchile.cl/index.php/index/oai,La url no corresponde a una revista recolectable por OAI.
https://cuadernosms.cl/index.php/index/oai,
https://www.revistas.unam.mx/index.php/index/oai,
https://spdiojs.org/index.php/index/oai,La url no corresponde a una revista recolectable por OAI.
https://revistaliteratura.uchile.cl/index.php/index/oai,La url no corresponde a una revista recolectable por OAI.
https://revistas.ucsc.cl/index.php/index/oai,
https://ediciones.ucsh.cl/index.php/index/oai,La url no corresponde a una revista recolectable por OAI.
https://boletinfilologia.uchile.cl/index.php/index/oai,La url no corresponde a una revista recolectable por OAI.
https://revistaotorrino-sochiorl.cl/index.php/index/oai,
https://revistareumatologia.cl/index.php/index/oai,
https://blacpma.ms-editions.cl/index.php/index/oai,informe de calidad no disponible por error al recolectar por OAI-PMH
https://cuadernos.info/index.php/index/oai,no carga
https://revistas.ubiobio.cl/index.php/index/oai,informe de calidad no disponible por error al recolectar por OAI-PMH
http://www.autoctonia.cl/index.php/index/oai,
https://revistas.udd.cl/index.php/index/oai,
https://revistahistoria.uc.cl/index.php/index/oai,informe de calidad no disponible por error al recolectar por OAI-PMH
https://revistainclusiones.org/index.php/index/oai,informe de calidad no disponible por error al recolectar por OAI-PMH
https://www.observatorioeconomico.cl/index.php/index/oai,
https://revistasaludpublica.uchile.cl/index.php/index/oai,La url no corresponde a una revista recolectable por OAI.
http://intushistoria.uai.cl/index.php/index/oai,
https://ojs.uc.cl/index.php/index/oai,informe de calidad no disponible por error al recolectar por OAI-PMH
https://cuhso.uct.cl/index.php/index/oai,
