context_name,issn,total_record_count,works_count,cited_by_count,indice_visibilidad,h_index
Revista Inclusiones,0719-4706,2671,2049,1124,0.4208161737177087,14
Onomázein,0718-5758,1081,325,845,0.7816836262719704,13
Anales de Literatura Chilena,0717-6058,956,432,194,0.202928870292887,5
REVISTA CUHSO,2452-610X,910,0,0,0.0,10
"Revista AIDIS de ingeniería y ciencias ambientales: Investigación, desarrollo y práctica",0718-378X,897,315,292,0.3255295429208473,5
Cuadernos.info,0719-367X,822,35,129,0.156934306569343,17
Pensamiento Educativo,0719-0409,746,220,669,0.8967828418230563,16
"Sustainability, Agri, Food and Environmental Research-DESCONTINUADA",0719-3726,719,324,461,0.6411682892906815,9
Horizonte de Enfermería,0719-6946,603,207,142,0.2354892205638474,6
Observatorio Económico,0719-9597,554,632,181,0.3267148014440433,5
Revista de Trabajo Social,2735-7228,503,183,159,0.3161033797216699,6
Revista de Historia Social y de las Mentalidades,0719-4749,481,206,315,0.6548856548856549,4
Revista Notas Históricas y Geográficas,0719-4404,420,0,0,0.0,1
Revista Perspectivas: Notas sobre intervención y acción social,0717-1714,385,360,236,0.612987012987013,7
Neumología Pediátrica,0718-333X,372,354,240,0.6451612903225806,6
Revista Gestión de las Personas y Tecnología,0718-5693,358,175,181,0.505586592178771,7
Estudios Avanzados,0718-5014,336,330,172,0.5119047619047619,5
Revista nuestrAmérica,0719-3092,327,168,18,0.055045871559633,2
Autoctonía. Revista de Ciencias Sociales e Historia,0719-8213,275,185,135,0.4909090909090909,6
Revista Observatorio del Deporte,0719-5729,254,0,0,0.0,1
Remetallica,0716-291X,234,20,3,0.0128205128205128,1
English Studies in Latin America: A Journal of Cultural and Literary Criticism,0719-9139,231,0,0,0.0,1
Nueva Revista del Pacífico,0719-5176,208,171,204,0.9807692307692308,6
Revista Sul-Americana de Psicologia,2318-650X,200,75,139,0.695,3
