context_name,issn,prioridad_dialnet,indice_visibilidad,h_index,total_record_count,cited_by_count
Journal of Technology Management & Innovation,0718-2724,8,14.240625,51,960,13671
Ciencia y Enfermería,0717-9553,8,7.727030625832223,32,751,5803
Psykhe,0718-2228,8,6.712155963302752,36,872,5853
Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas,0717-7917,8,11.056947608200456,26,439,4854
Chungara Revista de Antropología Chilena,0717-7356,7,48.660493827160494,34,162,7883
Proyecciones. Revista de Matemática,0717-6279,7,2.575539568345324,21,1251,3222
Cinta de Moebio. Revista de Epistemología de Ciencias Sociales,0717-554X,7,4.438811188811189,22,572,2539
Revista de la Construcción. Journal of Construction,0718-915X,7,4.407407407407407,22,459,2023
Boletín Micológico,0719-3114,6,1.38353765323993,10,571,790
Revista de Urbanismo,0717-5051,6,1.7639484978540771,12,466,822
Revista Chilena de Derecho,0716-0747,6,1.40748031496063,17,2032,2860
Anales del Instituto de la Patagonia -- ISSN 0718-686X,0718-686X,6,2.7117903930131004,14,458,1242
MAD,0718-0527,6,1.93854748603352,10,358,694
Historia,0717-7194,6,1.9560922063666304,17,911,1782
Revista de otorrinolaringología y cirugía de cabeza y cuello,0718-4816,6,1.2203219315895373,11,994,1213
REXE- Revista de Estudios y Experiencias en Educación,0718-5162,6,2.7259475218658893,18,686,1870
Revista de derecho (Coquimbo),0718-9753,6,1.3028263795423958,11,743,968
"Revista Infancia, Educación y Aprendizaje",0719-6202,6,1.4776902887139107,10,381,563
Chilean Journal of Agricultural & Animal Sciences,0719-3890,6,1.7662337662337662,10,385,680
Revista Inclusiones,0719-4706,5,0.4208161737177087,14,2671,1124
Revista Pedagogía Universitaria y Didáctica del Derecho,0719-5885,5,2.1367521367521367,11,234,500
Revista Ingeniería de Construcción,0718-5073,5,2.576296296296296,16,675,1739
Pensamiento Educativo,0719-0409,4,0.8967828418230563,16,746,669
Estudios Avanzados,0718-5014,4,0.5119047619047619,5,336,172
Journal of Movement & Health,2452-5812,4,1.2929936305732483,7,157,203
Revista Perspectivas: Notas sobre intervención y acción social,0717-1714,4,0.612987012987013,7,385,236
Acta Entomológica Chilena,0716-5072,4,2.2248995983935744,9,249,554
Revista Sophia Austral,0719-5605,4,1.3571428571428572,7,196,266
Revista de la Academia,0719-6318,4,1.2375,5,160,198
Cuadernos de Filosofía,0716-9884,4,2.4296296296296296,5,135,328
Revista nuestrAmérica,0719-3092,4,0.055045871559633,2,327,18
Journal of Latin American Studies on Disaster Risk Reduction REDER,0719-8477,4,1.341317365269461,7,167,224
Revista Saberes Educativos,2452-5014,4,2.364341085271318,9,129,305
Neumología Pediátrica,0718-333X,4,0.6451612903225806,6,372,240
Revista Iberoamericana de Estudios Municipales,0719-1790,4,1.261111111111111,6,180,227
Observatorio Económico,0719-9597,4,0.3267148014440433,5,554,181
Cuadernos.info,0719-367X,4,0.156934306569343,17,822,129
Hábitat Sustentable,0719-0700,4,1.6986301369863013,9,219,372
Revista Estudios de Políticas Públicas,0719-6296,4,1.1071428571428572,6,224,248
Onomázein,0718-5758,4,0.7816836262719704,13,1081,845
"European Journal of Child Development, Education and Psychopathology",2340-924X,4,2.9911504424778763,7,113,338
Revista Educación Las Américas,0719-7128,4,1.598360655737705,8,122,195
Praxispsi,2735-6957,3,0.3105590062111801,3,161,50
Revista de Educación Religiosa,2452-5936,3,0.5625,4,112,63
Revista Justicia & Derecho,0719-9392,3,0.7619047619047619,5,126,96
"Sustainability, Agri, Food and Environmental Research-DESCONTINUADA",0719-3726,3,0.6411682892906815,9,719,461
Revista de Trabajo Social,2735-7228,3,0.3161033797216699,6,503,159
Convergencia Educativa,0719-3351,3,0.6442307692307693,3,104,67
Latin American Journal of Trade Policy,0719-9368,3,1.3707865168539326,6,89,122
Nueva Revista del Pacífico,0719-5176,3,0.9807692307692308,6,208,204
Applied Sciences in Dentistry,0719-5761,3,0.5188679245283019,2,106,55
Revista Chilena de Educación Matemática,2452-5448,3,1.5490196078431373,4,51,79
Panambí. Revista de Investigaciones Artísticas,0719-630X,3,0.3090909090909091,3,165,51
Pensamiento y Acción Interdisciplinaria,0719-8078,3,0.7443609022556391,5,133,99
Castalia - Revista de Psicología de la Academia,0719-8051,3,0.4333333333333333,3,150,65
Arboles y Rizomas,0719-9805,3,0.3873873873873873,3,111,43
Revista Actos,2452-4727,3,0.2264150943396226,3,106,24
"Revista AIDIS de ingeniería y ciencias ambientales: Investigación, desarrollo y práctica",0718-378X,3,0.3255295429208473,5,897,292
Revista de Historia Social y de las Mentalidades,0719-4749,3,0.6548856548856549,4,481,315
Perfiles Económicos,0719-7586,3,0.6587301587301587,4,126,83
Sur y Tiempo: Revista de Historia de América,2452-574X,3,0.1442307692307692,2,104,15
REVISTA CUHSO,2452-610X,3,0.0,10,910,0
Autoctonía. Revista de Ciencias Sociales e Historia,0719-8213,3,0.4909090909090909,6,275,135
Resonancias. Revista de Filosofía,0719-790X,3,0.2352941176470588,3,136,32
Revista stultifera,0719-983X,3,0.5255474452554745,4,137,72
Revista Jurídica Digital UANDES,0719-7942,3,0.3355263157894737,4,152,51
Revista Ethika+,2452-6037,3,0.6916666666666667,4,120,83
Horizonte de Enfermería,0719-6946,3,0.2354892205638474,6,603,142
Anales de Literatura Chilena,0717-6058,3,0.202928870292887,5,956,194
Historia Agraria de América Latina,2452-5162,3,0.3771929824561403,4,114,43
Revista Gestión de las Personas y Tecnología,0718-5693,3,0.505586592178771,7,358,181
Revista Latinoamericana de Derecho y Religión,0719-7160,2,0.3316326530612244,3,196,65
"Ergonomía, Investigación y Desarrollo",2452-4859,2,0.2542372881355932,3,177,45
Revista Chilena de Enfermería,2452-5839,2,0.4931506849315068,4,73,36
Revista Matronería Actual,2452-5820,2,0.3421052631578947,3,76,26
Revista ProPulsión Interdisciplina en Ciencias Sociales y Humanidades,2452-5758,2,0.2285714285714285,2,70,16
Palimpsesto,0718-5898,2,0.1270718232044199,2,181,23
Revista Notas Históricas y Geográficas,0719-4404,2,0.0,1,420,0
Revista de Innovación en Enseñanza de las Ciencias,0719-9007,2,0.064,3,125,8
Revista INTEREDU,2735-6523,2,0.2325581395348837,3,129,30
Revista Sul-Americana de Psicologia,2318-650X,2,0.695,3,200,139
Revista Chilena de Rehabilitación y Actividad Física,2735-7287,2,0.3170731707317073,2,41,13
Remetallica,0716-291X,2,0.0128205128205128,1,234,3
Journal of Management & Business Studies,2452-5340,2,0.7575757575757576,3,66,50
REVISTA DE HUMANIDADES Y CIENCIAS SOCIALES Y MULTIDISCIPLINARIA,0719-5737,1,0.0,0,157,0
Biologia Pesquera,0067-8767,1,0.0,8,157,0
Benessere. Revista de Enfermería,0719-7764,1,0.0,0,72,0
Revista Observatorio del Deporte,0719-5729,1,0.0,1,254,0
STEINIANA: Revista de Estudios Interdisciplinarios,0719-8728,1,0.1081081081081081,2,74,8
Textos Híbridos,2157-0159,1,0.0,0,148,0
Propuestas Críticas en Trabajo Social-Critical Proposals in Social Work,2735-6620,1,0.8666666666666667,4,90,78
English Studies in Latin America: A Journal of Cultural and Literary Criticism,0719-9139,1,0.0,1,231,0
Revista Realidad Educativa,2452-6134,1,0.4509803921568627,3,51,23
Revista Reflexión e Investigación Educacional,2452-4638,1,0.0,4,124,0
Amoxtli,0719-997X,1,0.1184210526315789,2,76,9
Gobierno y Administración Pública,2735-7074,1,0.2711864406779661,2,59,16
Archivos de la Sociedad Chilena de Medicina del Deporte,0719-7322,0,0.0,0,69,0
CUADERNOS DE ARTE,0717-2672,0,0.0,1,74,0
Revista Planeo,0719-2932,0,0.0,2,39,0
Revista de Derecho Aplicado LLM UC,2452-4344,0,0.0,1,94,0
Revista de Educación Estadística,2810-6164,0,0.0,1,27,0
En las Fronteras del Derecho,2735-7236,0,0.0,2,36,0
