context_name,issn,indice_visibilidad,h_index,works_count,cited_by_count
"European Journal of Child Development, Education and Psychopathology",2340-924X,2.9911504424778763,7,146,338
Cuadernos de Filosofía,0716-9884,2.4296296296296296,5,261,328
Acta Entomológica Chilena,0716-5072,2.2248995983935744,9,234,554
MAD,0718-0527,1.93854748603352,10,392,694
Chilean Journal of Agricultural & Animal Sciences,0719-3890,1.7662337662337662,10,214,680
Hábitat Sustentable,0719-0700,1.6986301369863013,9,118,372
"Revista Infancia, Educación y Aprendizaje",0719-6202,1.4776902887139107,10,345,563
Boletín Micológico,0719-3114,1.38353765323993,10,623,790
Revista Sophia Austral,0719-5605,1.3571428571428572,7,120,266
Journal of Latin American Studies on Disaster Risk Reduction REDER,0719-8477,1.341317365269461,7,118,224
Journal of Movement & Health,2452-5812,1.2929936305732483,7,133,203
Revista Iberoamericana de Estudios Municipales,0719-1790,1.261111111111111,6,217,227
Revista de la Academia,0719-6318,1.2375,5,140,198
Revista Estudios de Políticas Públicas,0719-6296,1.1071428571428572,6,231,248
