dominio,url_fuente,fecha_consulta,errores_alta,errores_media,errores_total,palabras_clave_pct,autores_pct,enlaces_pct,referencias_pct,resumenes_pct,titulos_pct,afiliaciones_pct,top_error_1,top_error_1_ocurrencias,top_error_2,top_error_2_ocurrencias,top_error_3,top_error_3_ocurrencias
academiaone.org,https://academiaone.org/index.php/index/oai,8/11/2025 23:00,388,648,1036,98.0,99.0,100.0,61.0,100.0,100.0,96.0,Artículo con referencias cuyo literal es demasiado corto (menos de 30 caracteres),248,Autor con apellido 1 de longitud menor de 4 caracteres,168,Ejemplar marcado como no paginado y contiene artículos con página final,147
anuario.filosofiajuridica.cl,https://anuario.filosofiajuridica.cl/index.php/index/oai,21/11/2025 23:08,46,29,75,100.0,100.0,100.0,83.0,100.0,100.0,0.0,Artículo con título y subtítulo en mayúsculas,30,Artículo sin número de página inicial,16,Ejemplar marcado como no paginado y contiene artículos con página final,9
boletin.scha.cl,https://boletin.scha.cl/index.php/index/oai,11/11/2025 02:19,2390,136,2526,7.0,99.0,100.0,8.0,29.0,100.0,14.0,Autor sin apellido 1,825,Autor sin nombre,825,Artículo sin ejemplar identificado en la importación,647
cuadernosms.cl,https://cuadernosms.cl/index.php/index/oai,9/11/2025 02:20,72,1336,1408,90.0,100.0,100.0,5.0,48.0,100.0,95.0,Autor con apellido 2 de longitud menor de 4 caracteres,730,Articulo con título repetido para la misma revista,231,Ejemplar marcado como no paginado y contiene artículos con página final,229
cubo.ufro.cl,https://cubo.ufro.cl/ojs/index.php/index/oai,23/8/2023 20:51,1126,191,1317,73.0,100.0,100.0,37.0,97.0,100.0,96.0,Artículo sin número de página inicial,491,"Existe otro ejemplar en la importación con la misma información en los campos: año, volumen, número, fascículo y extraordinario",453,Artículo sin ejemplar identificado en la importación,136
cuhso.uct.cl,https://cuhso.uct.cl/index.php/index/oai,10/11/2025 19:30,142,212,354,63.0,100.0,100.0,0.0,94.0,100.0,41.0,Artículo con resumen repetido para la misma revista,86,Articulo con título repetido para la misma revista,53,Ejemplar marcado como no paginado y contiene artículos con página final,50
gayana.cl,https://gayana.cl/index.php/index/oai,11/11/2025 00:17,8,24,32,84.0,100.0,100.0,0.0,96.0,100.0,88.0,Ejemplar marcado como no paginado y contiene artículos con página final,18,Articulo con resumen repetido para el mismo artículo,4,Autor con apellido 1 de longitud menor de 4 caracteres,4
historia396.cl,https://historia396.cl/index.php/index/oai,21/11/2025 23:06,55,76,131,21.0,100.0,100.0,42.0,100.0,100.0,88.0,Artículo con título y subtítulo en mayúsculas,35,Ejemplar marcado como no paginado y contiene artículos con página final,35,Artículo con referencias cuyo literal es demasiado corto (menos de 30 caracteres),15
intushistoria.uai.cl,http://intushistoria.uai.cl/index.php/index/oai,10/11/2025 19:05,775,19,794,84.0,100.0,100.0,13.0,89.0,100.0,88.0,Artículo sin ejemplar identificado en la importación,424,Artículo con título y subtítulo en mayúsculas,335,Artículo con referencias cuyo literal es demasiado corto (menos de 30 caracteres),13
nuestramerica.cl,https://nuestramerica.cl/ojs/index.php/index/oai,10/11/2025 19:34,351,27,378,81.0,100.0,100.0,79.0,92.0,100.0,84.0,Artículo sin número de página inicial,211,"Existe otro ejemplar en la importación con la misma información en los campos: año, volumen, número, fascículo y extraordinario",139,Ejemplar marcado como no paginado y contiene artículos con página final,11
pensamientocriticoaymara.com,https://www.pensamientocriticoaymara.com/index.php/index/oai,21/11/2025 23:07,15,14,29,0.0,100.0,100.0,0.0,98.0,100.0,93.0,Artículo con título y subtítulo en mayúsculas,14,Ejemplar marcado como no paginado y contiene artículos con página final,11,Autor con nombre iniciado por minúscula,1
reinnec.cl,https://reinnec.cl/index.php/index/oai,11/11/2025 15:01,77,15,92,47.0,100.0,100.0,0.0,98.0,100.0,99.0,Artículo sin número de página inicial,76,Ejemplar marcado como no paginado y contiene artículos con página final,6,Articulo con título repetido para la misma revista,3
revchilenfermrespir.cl,https://revchilenfermrespir.cl/index.php/index/oai,10/11/2025 19:37,213,1865,2078,53.0,99.0,100.0,0.0,65.0,100.0,82.0,Autor con apellido 2 de longitud menor de 4 caracteres,1636,Articulo con título repetido para la misma revista,94,Ejemplar marcado como no paginado y contiene artículos con página final,87
revista-avante.com,https://revista-avante.com/index.php/index/oai,10/11/2025 20:25,108,12,120,86.0,100.0,100.0,15.0,100.0,100.0,87.0,Artículo con título y subtítulo en mayúsculas,64,Artículo sin número de página inicial,33,Artículo sin ejemplar identificado en la importación,11
revistachilenadeneurocirugia.com,https://revistachilenadeneurocirugia.com/index.php/index/oai,11/11/2025 02:28,69,122,191,87.0,98.0,100.0,11.0,93.0,100.0,95.0,Autor con apellido 2 de longitud menor de 4 caracteres,44,Artículo con autorías duplicadas. Un autor sólo puede encontrarse una vez por artículo,33,Ejemplar marcado como no paginado y contiene artículos con página final,24
revistaderechovaldivia.cl,https://revistaderechovaldivia.cl/index.php/index/oai,10/11/2025 23:10,1160,28,1188,50.0,100.0,100.0,0.0,57.0,100.0,0.0,Artículo sin número de página inicial,738,Artículo con título y subtítulo en mayúsculas,298,Artículo sin ejemplar identificado en la importación,112
revistahumanidades.unab.cl,https://revistahumanidades.unab.cl/index.php/index/oai,11/11/2025 01:33,573,287,860,68.0,100.0,100.0,71.0,70.0,100.0,92.0,Artículo con autorías duplicadas. Un autor sólo puede encontrarse una vez por artículo,546,Articulo con título repetido,155,Artículo con referencias cuyo literal es demasiado corto (menos de 30 caracteres),68
revistalimite.uta.cl,https://revistalimite.uta.cl/index.php/index/oai,11/11/2025 02:36,846,75,921,99.0,100.0,100.0,21.0,100.0,100.0,93.0,Artículo sin número de página inicial,358,Artículo sin ejemplar identificado en la importación,247,Artículo con título y subtítulo en mayúsculas,227
revistaotorrino-sochiorl.cl,https://revistareumatologia.cl/index.php/index/oai,10/11/2025 16:44,39,135,174,55.0,86.0,100.0,55.0,53.0,100.0,82.0,Autor con apellido 2 de longitud menor de 4 caracteres,77,Articulo con título repetido para la misma revista,16,Artículo sin autores,14
revistapyr.ucm.cl,http://revistapyr.ucm.cl/index.php/index/oai,11/11/2025 02:26,47,326,373,76.0,99.0,100.0,5.0,100.0,100.0,97.0,Ejemplar marcado como no paginado y contiene artículos con página final,141,Autor con apellido 2 de longitud menor de 4 caracteres,66,Articulo con título repetido para la misma revista,46
revistareumatologia.cl,https://revistareumatologia.cl/index.php/index/oai,10/11/2025 16:44,39,135,174,55.0,86.0,100.0,55.0,53.0,100.0,82.0,Autor con apellido 2 de longitud menor de 4 caracteres,77,Articulo con título repetido para la misma revista,16,Artículo sin autores,14
revistas.academia.cl,https://revistas.academia.cl/index.php/index/oai,11/11/2025 03:04,539,314,853,0.0,100.0,100.0,14.0,90.0,100.0,46.0,Artículo sin número de página inicial,252,Ejemplar marcado como no paginado y contiene artículos con página final,142,Artículo con título y subtítulo en mayúsculas,135
revistas.uach.cl,http://revistas.uach.cl/index.php/index/oai,9/11/2025 00:31,1607,2274,3881,76.0,99.0,100.0,1.0,100.0,100.0,86.0,Autor con apellido 2 de longitud menor de 4 caracteres,1148,Artículo con título y subtítulo en mayúsculas,1140,Ejemplar marcado como no paginado y contiene artículos con página final,591
revistas.uautonoma.cl,https://revistas.uautonoma.cl/index.php/index/oai,11/11/2025 01:24,352,519,871,74.0,100.0,100.0,90.0,96.0,100.0,97.0,Artículo con referencias cuyo literal es demasiado corto (menos de 30 caracteres),235,Ejemplar marcado como no paginado y contiene artículos con página final,170,Artículo sin ejemplar identificado en la importación,110
revistas.ucsc.cl,https://revistas.ucsc.cl/index.php/index/oai,10/11/2025 15:34,1027,530,1557,79.0,99.0,100.0,71.0,99.0,100.0,95.0,Artículo con autorías duplicadas. Un autor sólo puede encontrarse una vez por artículo,614,Artículo con título y subtítulo en mayúsculas,253,Artículo con referencias cuyo literal es demasiado corto (menos de 30 caracteres),200
revistas.udd.cl,https://revistas.udd.cl/index.php/index/oai,10/11/2025 17:24,223,238,461,78.0,100.0,100.0,38.0,90.0,100.0,48.0,Artículo sin ejemplar identificado en la importación,137,Articulo con título repetido,61,Ejemplar marcado como no paginado y contiene artículos con página final,46
revistas.uft.cl,https://revistas.uft.cl/index.php/index/oai,11/11/2025 01:27,80,176,256,61.0,100.0,100.0,60.0,64.0,100.0,73.0,Artículo sin número de página inicial,57,Artículo con un título muy genérico.,44,Ejemplar marcado como no paginado y contiene artículos con página final,40
revistas.ulagos.cl,https://revistas.ulagos.cl/index.php/index/oai,10/11/2025 21:16,2607,253,2860,74.0,100.0,100.0,1.0,86.0,100.0,75.0,Artículo sin número de página inicial,1225,Artículo sin ejemplar identificado en la importación,1221,Ejemplar marcado como no paginado y contiene artículos con página final,101
revistas.umce.cl,https://revistas.umce.cl/index.php/index/oai,9/11/2025 00:58,749,539,1288,49.0,100.0,100.0,13.0,89.0,100.0,79.0,Artículo con título y subtítulo en mayúsculas,360,Artículo sin número de página inicial,301,Autor con apellido 2 de longitud menor de 4 caracteres,220
revistas.uv.cl,https://revistas.uv.cl/index.php/index/oai,10/11/2025 19:52,1988,877,2865,73.0,100.0,100.0,32.0,89.0,100.0,93.0,Artículo sin número de página inicial,669,Artículo sin ejemplar identificado en la importación,592,Artículo con título y subtítulo en mayúsculas,536
rhv.uv.cl,http://rhv.uv.cl/index.php/index/oai,11/11/2025 00:34,1988,877,2865,73.0,100.0,100.0,32.0,89.0,100.0,93.0,Artículo sin número de página inicial,669,Artículo sin ejemplar identificado en la importación,592,Artículo con título y subtítulo en mayúsculas,536
textoshibridos.uai.cl,https://textoshibridos.uai.cl/index.php/index/oai,21/11/2025 23:09,77,31,108,35.0,100.0,100.0,21.0,84.0,100.0,78.0,Artículo sin número de página inicial,72,Articulo con título repetido,11,Ejemplar marcado como no paginado y contiene artículos con página final,11
universum.utalca.cl,https://universum.utalca.cl/index.php/index/oai,10/11/2025 19:32,172,77,249,92.0,100.0,100.0,89.0,88.0,100.0,92.0,Artículo con título y subtítulo en mayúsculas,143,Artículo con referencias cuyo literal es demasiado corto (menos de 30 caracteres),24,Articulo con título repetido,17
www.100cs.cl,https://100cs.cl/index.php/index/oai,11/11/2025 18:24,269,57,326,70.0,97.0,100.0,0.0,100.0,100.0,15.0,Artículo sin ejemplar identificado en la importación,138,Artículo con título y subtítulo en mayúsculas,121,Articulo con título repetido para la misma revista,18
