id	label	cluster	weight<citations>	weight<journals>	weight<visibility>	weight<h_index>
1	us	2	1724432	698	4.433160870495308	10.9054441260745
2	br	1	1152659	2230	1.0277764201914208	5.674439461883408
3	in	2	675752	906	3.137834628125021	6.941501103752759
4	id	1	599889	6624	0.6542537861935962	3.7278079710144927
5	gb	2	467789	234	79.08399755199075	10.760683760683762
6	es	2	443794	657	2.756846520731466	7.432267884322679
7	ca	2	423548	304	5.605852209084084	10.769736842105264
8	se	2	388543	52	7.557827469350851	17.03846153846154
9	tr	2	178796	200	3.543487566686515	7.905
10	it	2	177463	176	1.7649154074797233	8.198863636363637
11	au	2	159129	88	3.767045163519421	13.25
12	de	2	155713	109	7.285040730309752	9.779816513761467
13	pl	2	143615	257	2.0687681944617498	6.45136186770428
14	ru	2	132877	330	2.3296244747203083	6.027272727272727
15	fr	2	116895	45	9.74233051707879	10.977777777777778
16	mx	1	112908	321	1.3729952627274078	4.766355140186916
17	ae	2	102968	65	4.581984056514956	12.138461538461538
18	dk	2	100922	65	3.5978490895210857	8.4
19	za	2	93160	61	5.885531237806906	9.688524590163935
20	cn	2	91058	82	5.759980079713804	6.670731707317073
21	pt	1	85087	115	1.532899967998151	5.826086956521739
22	cl	1	82237	133	1.4634444446836057	6.7518796992481205
23	ng	2	80269	132	1.5388517145979526	7.590909090909091
24	ua	1	68744	382	0.5369665536885649	4.0680628272251305
25	co	1	64821	271	0.6744044589307415	4.630996309963099
26	my	1	64560	229	1.3769309403832086	5.737991266375546
27	ar	2	64348	243	1.6077511432078615	5.090534979423868
28	nl	2	48532	69	6.548904172001308	8.73913043478261
29	pk	1	47929	90	1.336470273470084	6.311111111111111
30	ro	1	43876	78	1.3058556963344488	6.3076923076923075
31	sg	1	41097	143	1.2467147924568613	5.643356643356643
32	no	2	39844	68	3.4294094522737906	9.661764705882353
33	ke	1	38574	209	0.8071257456339636	3.248803827751196
34	ec	1	34026	195	0.39229222183334617	4.184615384615385
35	fi	1	33728	65	1.084195307196627	6.507692307692308
36	ch	2	32964	50	1.603532993007042	6.92
37	mk	1	32714	23	0.6497811957865351	4.6521739130434785
38	th	1	32487	66	0.5508738815929755	4.96969696969697
39	be	2	31344	53	2.7222652902456344	8.773584905660377
40	np	1	29605	185	1.423879281680967	3.9945945945945946
41	bd	2	29138	51	1.699110003234852	6.686274509803922
42	nz	2	28628	34	2.935749516527643	8.882352941176471
43	cz	2	27175	36	2.578306522290715	7.527777777777778
44	ir	2	25769	56	2.596964929338384	7.910714285714286
45	sk	2	23182	10	4.15924844265321	11.9
46	pe	1	22900	217	0.5244521671218219	3.175115207373272
47	et	2	21699	13	2.8830948280850746	10.384615384615385
48	cr	1	18977	39	0.9461763942253129	5.6923076923076925
49	hu	1	17539	104	0.9404105137155278	4.480769230769231
50	at	2	14247	22	1.9795426974051273	7.545454545454546
51	ie	2	14202	8	7.4046012230810385	12.5
52	vn	1	12950	117	0.5821717442165775	3.1367521367521367
53	om	2	12805	5	3.80228950429372	15.6
54	hr	2	11633	17	2.7387614080458387	9.0
55	si	2	11544	39	1.7208346562103436	4.846153846153846
56	iq	2	10806	57	2.1983196364227418	4.807017543859649
57	gh	1	10591	28	1.5099789275193327	6.857142857142857
58	rs	2	10458	30	2.5657485237189315	7.166666666666667
59	ve	1	10285	43	0.4936777141024502	4.4186046511627906
60	ma	1	9623	14	1.527597562606591	8.071428571428571
61	lt	1	7551	38	1.375228965674328	4.7631578947368425
62	jo	1	4935	29	0.6448437645479952	5.413793103448276
63	bg	2	4752	18	2.1685138914178888	4.0
64	uy	1	4140	23	0.4789242329886618	6.173913043478261
65	ge	2	4094	10	23.773653298850792	4.4
66	tz	1	3864	11	1.218245215024535	6.545454545454546
67	ba	2	3314	13	1.7007917489501734	6.769230769230769
68	zw	2	3305	5	2.1091061851859196	12.6
69	gr	1	2814	46	0.46283100674739147	2.847826086956522
70	py	2	2595	18	3.132894104082664	6.833333333333333
71	bo	1	2440	35	0.2673612662346545	2.7714285714285714
72	kr	2	2418	5	2.1106524001623344	9.0
73	cu	1	1935	16	0.2523751904813043	3.125
74	dz	2	1833	16	2.1220705944246347	4.625
75	lk	1	1793	31	0.8406723175879345	3.2903225806451615
76	zm	2	1683	6	6.387021505481026	6.666666666666667
77	gt	1	1621	15	1.263170175176753	2.933333333333333
78	lv	1	1511	9	0.99328693135349	4.888888888888889
79	ee	2	1007	5	1.9642092455651778	9.0
80	kw	2	998	10	2.293027307347212	6.2
81	uz	1	850	54	0.03865898273491722	1.7407407407407407
82	tw	2	670	6	2.157555340333015	4.333333333333333
83	kz	1	557	24	0.2899063431315931	2.0833333333333335
84	ph	1	474	46	0.018589845442727137	3.4565217391304346
85	ni	1	433	5	0.5461873056994777	3.8
86	am	1	412	10	0.2448422434016436	2.5
87	sa	1	213	5	0.0818669907492522	2.0
88	pa	1	171	25	0.0548342467889984	1.4
89	ye	1	108	10	0.05541301338255652	3.0
90	kg	1	47	11	0.1525974025974026	2.727272727272727
91	ly	1	30	13	0.022404779686333084	1.2307692307692308
92	az	1	8	8	0.02941176470588235	1.375
93	mn	1	2	10	0.0048780487804878005	0.7
94	mh	1	0	10	0.0	4.8
