oai_url,mensaje_error,pub_2024,pub_2023,crecimiento,region_pkp
https://revistachilenadederecho.uc.cl/index.php/index/oai,,1708,37,1671,Latin America & Caribbean
https://revistasdex.uchile.cl/index.php/index/oai,,1689,160,1529,Latin America & Caribbean
https://revistadelaconstruccion.uc.cl/index.php/index/oai,,958,2681,-1723,Latin America & Caribbean
https://cuhso.uct.cl/index.php/index/oai,,510,40,470,Latin America & Caribbean
https://revistalimite.uta.cl/index.php/index/oai,,321,0,321,Latin America & Caribbean
https://www.revistas.usach.cl/index.php/index/oai,,221,31,190,Latin America & Caribbean
https://revistaapuntes.uc.cl/index.php/index/oai,,214,1018,-804,Latin America & Caribbean
https://academiaone.org/index.php/index/oai,,136,53,83,Latin America & Caribbean
https://revistas.ucsc.cl/index.php/index/oai,,123,15,108,Latin America & Caribbean
https://revistas.userena.cl/index.php/index/oai,,117,13,104,Latin America & Caribbean
https://cuadernosms.cl/index.php/index/oai,,114,72,42,Latin America & Caribbean
https://horizonteenfermeria.uc.cl/index.php/index/oai,,101,83,18,Latin America & Caribbean
https://spdiojs.org/index.php/index/oai,,100,69,31,Latin America & Caribbean
https://revistaaisthesis.uc.cl/index.php/index/oai,,85,6,79,Latin America & Caribbean
https://revistaotorrino-sochiorl.cl/index.php/index/oai,,77,56,21,Latin America & Caribbean
http://www.autoctonia.cl/index.php/index/oai,,75,51,24,Latin America & Caribbean
https://analesliteraturachilena.letras.uc.cl/index.php/index/oai,,74,82,-8,Latin America & Caribbean
https://redae.uc.cl/index.php/index/oai,,72,33,39,Latin America & Caribbean
https://www.estudiospublicos.cl/index.php/index/oai,,71,75,-4,Latin America & Caribbean
https://esla.letras.uc.cl/index.php/index/oai,,68,41,27,Latin America & Caribbean
https://revistas.udec.cl/index.php/index/oai,,64,38,26,Latin America & Caribbean
https://onomazein.letras.uc.cl/index.php/index/oai,,64,74,-10,Latin America & Caribbean
https://www.rexe.cl/index.php/index/oai,,63,66,-3,Latin America & Caribbean
https://blacpma.ms-editions.cl/index.php/index/oai,,61,52,9,Latin America & Caribbean
https://revistas.umce.cl/index.php/index/oai,,57,68,-11,Latin America & Caribbean
https://revistanortegrande.uc.cl/index.php/index/oai,,57,22,35,Latin America & Caribbean
https://www.revistas.unam.mx/index.php/index/oai,,55,69,-14,Latin America & Caribbean
https://revistainclusiva.ucentral.cl/index.php/index/oai,,53,7,46,Latin America & Caribbean
https://ojs.uc.cl/index.php/index/oai,,53,35,18,Latin America & Caribbean
