"context_name","dominio","issn","record_count_2023","record_count_2024","record_count_2025","crecimiento_2023_2024","total_historico","activa_2024","region_pkp"
"Revista Chilena de Derecho","revistachilenadederecho.uc.cl","0716-0747",37,1708,25,1671,2066,TRUE,"Latin America & Caribbean"
"Boletín de la Universidad de Chile","revistasdex.uchile.cl","Sin ISSN",160,1689,0,1529,2091,TRUE,"Latin America & Caribbean"
"Boletín Jurídico del Observatorio de Libertad Religiosa de América Latina y El Caribe","revistadelaconstruccion.uc.cl","2452-5561",2681,958,177,-1723,4857,TRUE,"Latin America & Caribbean"
"REVISTA CUHSO","cuhso.uct.cl","2452-610X",40,510,39,470,982,TRUE,"Latin America & Caribbean"
"MGC / Revista de Gestión Cultural","revistasdex.uchile.cl","Sin ISSN",112,330,0,218,442,TRUE,"Latin America & Caribbean"
"Ingeniare. Revista Chilena de Ingeniería","revistalimite.uta.cl","0718-3305",0,321,31,321,352,TRUE,"Latin America & Caribbean"
"Revista de Trabajo Social","revistadelaconstruccion.uc.cl","2735-7228",16,293,0,277,515,TRUE,"Latin America & Caribbean"
"Revista de Historia Social y de las Mentalidades","www.revistas.usach.cl","0719-4749",31,221,142,190,509,TRUE,"Latin America & Caribbean"
"Apuntes de Teatro","revistaapuntes.uc.cl","0716-4440 2810-6830",1018,214,0,-804,1471,TRUE,"Latin America & Caribbean"
"Progress Annals: Journal of Progressive Research","academiaone.org","2810-6466",53,136,20,83,209,TRUE,"Latin America & Caribbean"
"Open Herald: Periodical of Methodical Research","academiaone.org","2810-6385",46,128,29,82,203,TRUE,"Latin America & Caribbean"
"Biologia Pesquera","revistas.ucsc.cl","0067-8767",15,123,0,108,157,TRUE,"Latin America & Caribbean"
"Temas de Educación","revistas.userena.cl","0716-7423 0719-8639",13,117,69,104,298,TRUE,"Latin America & Caribbean"
"Cuadernos Médico Sociales","cuadernosms.cl","0716-1336 2735-7759",72,114,75,42,2317,TRUE,"Latin America & Caribbean"
"Horizonte de Enfermería","horizonteenfermeria.uc.cl","0719-6946",83,101,1,18,648,TRUE,"Latin America & Caribbean"
"Revista Peruana de Derecho Internacional","spdiojs.org","0035-0370 2663-0222",69,100,50,31,561,TRUE,"Latin America & Caribbean"
"Diversity Research: Journal of Analysis and Trends","academiaone.org","2810-6393",153,99,48,-54,300,TRUE,"Latin America & Caribbean"
"Open Academia: Journal of Scholarly Research","academiaone.org","2810-6377",88,89,20,1,197,TRUE,"Latin America & Caribbean"
"AISTHESIS: Revista Chilena de Investigaciones Estéticas","revistaaisthesis.uc.cl","0568-3939 0718-7181",6,85,0,79,1215,TRUE,"Latin America & Caribbean"
"Revista de otorrinolaringología y cirugía de cabeza y cuello","revistaotorrino-sochiorl.cl","0718-4816",56,77,45,21,1051,TRUE,"Latin America & Caribbean"
"Autoctonía. Revista de Ciencias Sociales e Historia","www.autoctonia.cl","0719-8213",51,75,52,24,351,TRUE,"Latin America & Caribbean"
"Anales de Literatura Chilena","analesliteraturachilena.letras.uc.cl","0717-6058",82,74,0,-8,989,TRUE,"Latin America & Caribbean"
"Revista de Derecho Administrativo","redae.uc.cl","0717-4888 0719-5591",33,72,49,39,673,TRUE,"Latin America & Caribbean"
"Estudios Públicos","www.estudiospublicos.cl","0716-1115 0718-3089",75,71,0,-4,2164,TRUE,"Latin America & Caribbean"
"Psykhe","esla.letras.uc.cl","0718-2228",41,68,9,27,895,TRUE,"Latin America & Caribbean"
