"context_name","dominio","record_count_2024","crecimiento_2023_2024","total_historico"
"Revista Chilena de Derecho","revistachilenadederecho.uc.cl","1,708","+1,671","2,066"
"Boletín de la Universidad de Chile","revistasdex.uchile.cl","1,689","+1,529","2,091"
"REVISTA CUHSO","cuhso.uct.cl","  510","+  470","  982"
"Ingeniare. Revista Chilena de Ingeniería","revistalimite.uta.cl","  321","+  321","  352"
"Revista de Trabajo Social","revistadelaconstruccion.uc.cl","  293","+  277","  515"
"MGC / Revista de Gestión Cultural","revistasdex.uchile.cl","  330","+  218","  442"
"Revista de Historia Social y de las Mentalidades","www.revistas.usach.cl","  221","+  190","  509"
"Biologia Pesquera","revistas.ucsc.cl","  123","+  108","  157"
"Temas de Educación","revistas.userena.cl","  117","+  104","  298"
"Progress Annals: Journal of Progressive Research","academiaone.org","  136","+   83","  209"
"Open Herald: Periodical of Methodical Research","academiaone.org","  128","+   82","  203"
"AISTHESIS: Revista Chilena de Investigaciones Esté","revistaaisthesis.uc.cl","   85","+   79","1,215"
"Revista Latinoamericana de Educación Inclusiva","revistainclusiva.ucentral.cl","   53","+   46","  424"
"Revista de Ciencia Política","revistacienciapolitica.uc.cl","   45","+   44","1,202"
"Cuadernos Médico Sociales","cuadernosms.cl","  114","+   42","2,317"
