"context_name","dominio","record_count_2024","crecimiento_2023_2024","total_historico"
"Revista Chilena de Derecho","revistachilenadederecho.uc.cl","1,708","+ 1,671"," 2,066"
"Boletín de la Universidad de Chile","revistasdex.uchile.cl","1,689","+ 1,529"," 2,091"
"Boletín Jurídico del Observatorio de Libertad Reli","revistadelaconstruccion.uc.cl","  958","-1,723"," 4,857"
"REVISTA CUHSO","cuhso.uct.cl","  510","+   470","   982"
"MGC / Revista de Gestión Cultural","revistasdex.uchile.cl","  330","+   218","   442"
"Ingeniare. Revista Chilena de Ingeniería","revistalimite.uta.cl","  321","+   321","   352"
"Revista de Trabajo Social","revistadelaconstruccion.uc.cl","  293","+   277","   515"
"Revista de Historia Social y de las Mentalidades","www.revistas.usach.cl","  221","+   190","   509"
"Apuntes de Teatro","revistaapuntes.uc.cl","  214","  -804"," 1,471"
"Progress Annals: Journal of Progressive Research","academiaone.org","  136","+    83","   209"
"Open Herald: Periodical of Methodical Research","academiaone.org","  128","+    82","   203"
"Biologia Pesquera","revistas.ucsc.cl","  123","+   108","   157"
"Temas de Educación","revistas.userena.cl","  117","+   104","   298"
"Cuadernos Médico Sociales","cuadernosms.cl","  114","+    42"," 2,317"
"Horizonte de Enfermería","horizonteenfermeria.uc.cl","  101","+    18","   648"
"Revista Peruana de Derecho Internacional","spdiojs.org","  100","+    31","   561"
"Diversity Research: Journal of Analysis and Trends","academiaone.org","   99","   -54","   300"
"Open Academia: Journal of Scholarly Research","academiaone.org","   89","+     1","   197"
"AISTHESIS: Revista Chilena de Investigaciones Esté","revistaaisthesis.uc.cl","   85","+    79"," 1,215"
"Revista de otorrinolaringología y cirugía de cabez","revistaotorrino-sochiorl.cl","   77","+    21"," 1,051"
"Autoctonía. Revista de Ciencias Sociales e Histori","www.autoctonia.cl","   75","+    24","   351"
"Anales de Literatura Chilena","analesliteraturachilena.letras.uc.c","   74","    -8","   989"
"Revista de Derecho Administrativo","redae.uc.cl","   72","+    39","   673"
"Estudios Públicos","www.estudiospublicos.cl","   71","    -4"," 2,164"
"Psykhe","esla.letras.uc.cl","   68","+    27","   895"
"Atenea","revistas.udec.cl","   64","+    26","10,040"
"Onomázein","onomazein.letras.uc.cl","   64","   -10"," 1,105"
"Revista de Estudios y Experiencias en Educación","www.rexe.cl","   63","    -3","   804"
"Boletín Latinoamericano y del Caribe de Plantas Me","blacpma.ms-editions.cl","   61","+     9","   463"
"Chilean Journal of Agricultural & Animal Sciences","revistas.udec.cl","   57","   -48","   437"
