"pais","instalaciones_activas","total_pub_2024","total_pub_2023","crecimiento","promedio_2024"
"ID",23045,713408,591197,122211,31
"BR",4050,228789,179933,48856,56.5
"DESCONOCIDO",3260,161446,74242,87204,49.5
"US",1714,87977,61009,26968,51.3
"IN",1630,95726,73392,22334,58.7
"ES",1295,57190,43854,13336,44.2
"TH",1172,43923,38625,5298,37.5
"UA",1052,73371,60072,13299,69.7
"RU",954,74346,68066,6280,77.9
"PK",893,43070,31149,11921,48.2
"CO",795,20150,19329,821,25.3
"AR",780,24395,23550,845,31.3
"MX",774,26821,23988,2833,34.7
"NG",728,34914,15928,18986,48
"PL",707,28138,24358,3780,39.8
"IT",633,24839,21191,3648,39.2
"MY",530,20514,13358,7156,38.7
"DE",431,26929,25153,1776,62.5
"EC",408,15151,11517,3634,37.1
"PE",400,11010,9721,1289,27.5
"CA",396,15813,13074,2739,39.9
"NP",379,6949,5349,1600,18.3
"UZ",378,96757,64362,32395,256
"GB",377,28438,15190,13248,75.4
"CL",322,14159,12250,1909,44
"TR",309,12354,15680,-3326,40
"IQ",281,21054,23823,-2769,74.9
"VN",278,20497,13093,7404,73.7
"PT",274,8904,8198,706,32.5
"HU",254,8258,7993,265,32.5
"KE",248,6461,3786,2675,26.1
"RO",243,11164,9833,1331,45.9
"VE",234,9149,8132,1017,39.1
"ZA",211,6840,6061,779,32.4
"SG",197,47866,28101,19765,243
"RS",186,7573,6465,1108,40.7
"CU",162,8874,13683,-4809,54.8
"NL",158,7850,5917,1933,49.7
"BD",149,4412,2925,1487,29.6
"PH",142,4644,5807,-1163,32.7
"MA",141,5721,4689,1032,40.6
"CN",138,9148,9207,-59,66.3
"IR",134,9749,6565,3184,72.8
"KZ",133,7600,8610,-1010,57.1
"FI",132,4680,5565,-885,35.5
"DK",117,3789,3531,258,32.4
"SI",117,4737,3558,1179,40.5
"CR",106,2424,2759,-335,22.9
"PY",104,7093,4929,2164,68.2
"SE",104,3160,2404,756,30.4
"CZ",102,3111,2962,149,30.5
"LY",98,4730,3154,1576,48.3
"LT",95,2741,2632,109,28.9
"BO",92,2041,1491,550,22.2
"GR",91,4188,4091,97,46
"AU",90,2614,2694,-80,29
"HR",88,2304,2591,-287,26.2
"ET",84,2067,1757,310,24.6
"FR",81,4189,4498,-309,51.7
"BE",78,4977,5161,-184,63.8
"GE",77,2838,1917,921,36.9
"DZ",75,8036,2974,5062,107.1
"UY",73,2224,2142,82,30.5
"CH",70,5890,2011,3879,84.1
"BG",67,2291,2013,278,34.2
"JO",67,4110,3248,862,61.3
"BA",66,2397,1570,827,36.3
"NO",66,1484,1258,226,22.5
"PA",60,1179,936,243,19.6
"MK",56,2146,2482,-336,38.3
"TZ",56,1441,917,524,25.7
"AT",55,1371,1371,0,24.9
"AE",53,1672,1274,398,31.5
"GH",48,899,767,132,18.7
"NZ",48,2536,1851,685,52.8
"YE",43,2939,2048,891,68.3
"SK",42,1652,1388,264,39.3
"EE",39,1240,1050,190,31.8
"AM",33,845,1173,-328,25.6
"LK",33,847,321,526,25.7
"GT",30,634,722,-88,21.1
"LV",29,1519,983,536,52.4
"MH",28,5289,2433,2856,188.9
"SA",28,1548,580,968,55.3
"UG",28,1289,1043,246,46
"AZ",27,1986,541,1445,73.6
"SV",26,563,527,36,21.7
"BY",24,1249,1073,176,52
"EG",24,1643,894,749,68.5
"AF",22,829,254,575,37.7
"JP",22,607,583,24,27.6
"MN",22,1508,2015,-507,68.5
"TW",22,345,359,-14,15.7
"DO",21,764,417,347,36.4
"SY",20,911,1768,-857,45.5
"AL",19,2432,1287,1145,128
"KG",19,2209,1282,927,116.3
"MD",19,1148,1017,131,60.4
"PR",19,770,211,559,40.5
"KW",18,837,372,465,46.5
"NI",17,402,382,20,23.6
"IE",15,351,118,233,23.4
"ZW",14,238,114,124,17
"AO",13,251,111,140,19.3
"MU",13,493,442,51,37.9
"IL",11,644,103,541,58.5
"TN",11,484,455,29,44
"BT",10,119,158,-39,11.9
"CD",10,310,273,37,31
"KR",10,389,234,155,38.9
"ZM",10,143,92,51,14.3
"OM",9,400,412,-12,44.4
"RW",9,199,132,67,22.1
"SN",9,230,72,158,25.6
"TT",9,343,90,253,38.1
"CC",8,279,118,161,34.9
"CM",8,987,1024,-37,123.4
"QA",8,182,198,-16,22.8
"CY",7,159,131,28,22.7
"LB",7,305,215,90,43.6
"SD",7,155,75,80,22.1
"TL",7,114,45,69,16.3
"IS",6,177,120,57,29.5
"ME",6,247,308,-61,41.2
"BN",5,47,60,-13,9.4
"KH",5,91,27,64,18.2
"PS",5,109,64,45,21.8
"BF",4,168,235,-67,42
"BJ",4,71,24,47,17.8
"BW",4,65,32,33,16.2
"MZ",4,145,31,114,36.2
"CI",3,83,28,55,27.7
"HN",3,87,35,52,29
"ML",3,88,71,17,29.3
"MV",3,28,14,14,9.3
"MW",3,69,59,10,23
"NA
NA",3,30,27,3,10
"SO",3,37,29,8,12.3
"CG",2,64,45,19,32
"LU",2,30,9,21,15
"MT",2,73,30,43,36.5
"AI",1,10,2,8,10
"BI",1,8,0,8,8
"BZ",1,11,5,6,11
"GM",1,65,12,53,65
"IM",1,11,0,11,11
"LA",1,89,3,86,89
"MG",1,8,14,-6,8
"MM",1,60,74,-14,60
"PW",1,32,24,8,32
"SL",1,24,0,24,24
"SZ",1,37,47,-10,37
"TG",1,94,194,-100,94
"VU",1,21,0,21,21
