oai_url,application,version,earliest_datestamp,repository_name,set_spec,context_name,stats_id,total_record_count,issn,country_marc,country_issn,country_tld,country_ip,country_consolidated,last_completed_update,first_beacon,last_beacon,last_oai_response,unresponsive_endpoint,unresponsive_context,record_count_2020,record_count_2021,record_count_2022,record_count_2023
https://monografi.al/index/oai,omp,3.3.0.15,2023-09-19T15:04:28Z,Monografi Akademike Shqiptare,home,Albanian Academic Monographies,64fb4d94c61cd,111,,,,AL,,al,2024-09-29 05:32:12+00:00,2023-09-09 02:24:39+00:00,2024-06-22 12:40:44+00:00,2024-09-29 05:32:09+00:00,0,0,0,0,0,9
https://puertomaderoeditorial.com.ar/index.php/index/oai,omp,3.3.0.15,2022-04-05T16:29:07Z,,pmea,Puerto Madero Editorial Académica,6244dfea1e4d0,250,,,,AR,,ar,2024-10-01 06:05:37+00:00,2022-03-30 15:56:33+00:00,2024-02-28 01:25:17+00:00,2024-10-01 06:05:33+00:00,0,0,0,2,87,103
https://libros.fahce.unlp.edu.ar/index.php/index/oai,omp,3.1.1.0,2014-07-10T14:20:28Z,,libros,Libros de la FaHCE,5c59990268a69,252,,,,AR,,ar,2024-10-13 07:07:48+00:00,2023-05-11 20:45:05+00:00,2023-05-11 20:45:05+00:00,2024-10-13 07:07:44+00:00,0,0,17,20,26,31
https://www.lillo.org.ar/editorial/index.php/index/oai,omp,3.3.0.6,2019-09-05T15:57:48Z,,publicaciones,Fundación Miguel Lillo,5d70faa3710cf,434,,,,AR,AR,ar,2024-10-08 04:22:39+00:00,2021-04-28 07:15:00+00:00,2024-09-12 10:47:04+00:00,2024-10-08 04:22:33+00:00,0,0,24,23,18,22
https://librosfaud.mdp.edu.ar/index/oai,omp,3.1.1.3,2017-11-17T14:54:26Z,,EbooksFaud,Portal de publicaciones digitales de acceso abierto de la FAUD UNMdP,5a0fca5a3baa6,90,,,,AR,AR,ar,2024-09-28 06:26:42+00:00,2020-09-24 12:40:25+00:00,2020-09-25 19:12:15+00:00,2024-09-28 06:26:37+00:00,0,0,3,8,30,18
https://omp.unsj.edu.ar/index.php/index/oai,omp,3.3.0.7,2021-07-30T17:42:06Z,,iev,Instituto de Expresión Visual,60e72ef485e0c,27,,,,AR,AR,ar,2024-10-11 05:22:48+00:00,2021-07-08 10:01:01+00:00,2024-08-10 18:51:51+00:00,2024-10-11 05:22:39+00:00,0,0,2,2,2,14
https://omp.uca.edu.ar/index.php/index/oai,omp,3.3.0.11,2022-08-11T16:06:24Z,Monografías UCA,uca,UCA | Portal de Libros,62ec25a27aae9,132,,,,AR,,ar,2024-10-08 04:35:38+00:00,2022-08-04 13:02:01+00:00,2024-10-09 18:00:18+00:00,2024-10-08 04:35:30+00:00,0,0,8,18,17,13
http://isco.unla.edu.ar/edunla/index/oai,omp,3.1.1.3,2017-11-17T14:50:03Z,,cuadernos,Cuadernos del ISCo,5abc3c5a9eb02,52,,,,AR,,ar,2024-10-10 04:53:57+00:00,2022-12-06 08:41:25+00:00,2022-12-06 08:41:25+00:00,2024-10-10 04:53:48+00:00,0,0,6,9,11,12
https://ragifediciones.com.ar/index.php/index/oai,omp,3.3.0.14,2023-05-03T20:06:20Z,,re,Ragif Ediciones,64528ff8cf047,92,,,,AR,,ar,2024-10-10 06:41:24+00:00,2023-05-07 19:08:40+00:00,2024-10-08 19:24:52+00:00,2024-10-10 06:41:22+00:00,0,0,6,14,18,11
https://editoriales.facultades.unc.edu.ar/index.php/index/oai,omp,3.3.0.10,2022-06-09T14:50:13Z,Editoriales UNC,anarchivo,"Anarchivo. Editorial de comunicación, cultura y tecnología",629f61aa9aae3,12,,,,AR,,ar,2024-10-06 08:51:26+00:00,2022-06-07 07:35:58+00:00,2024-10-04 11:35:03+00:00,2024-10-06 08:51:11+00:00,0,0,0,0,0,6
