issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error
2518-668X,S2765078954,4522,15757,31,0.47076167076167075,True,
2220-3796,S2737009427,551,3254,25,0.6947791164658634,True,
2519-125X,S4210182612,275,499,7,0.3543859649122807,True,
2616-7166;2958-6046,,0,0,0,0.0,False,
2616-6526;2616-6534,,0,0,0,0.0,False,
1996-2339;2958-2784,,0,0,0,0.0,False,
2789-7206,S4389157747,0,0,4,0.4,True,
2309-4966,S4387283374,0,0,10,0.46511627906976744,True,
2220-6140,S2738550039,1237,6059,32,0.559322033898305,True,
2958-5791,S4387286324,0,0,4,0.6956521739130435,True,
2075-6240,S4210214077,124,649,12,0.6041666666666666,True,
2455-9377,S4210200471,54,192,8,0.5416666666666666,True,
2227-524X,S4210200385,8346,31467,47,0.3,True,
2520-5382,S4210237697,120,555,11,0.5625,True,
2709-0191,S4210216513,26,46,3,0.36,True,
2521-3830,S4210211226,149,662,13,1.1333333333333333,True,
2220-4822,S2764630177,290,1369,14,0.3225806451612903,True,
2309-1185,S4210235003,233,1137,13,0.0,True,
2791-3171,S4387292965,0,0,3,0.125,True,
2521-3539,S4210235876,120,335,10,0.3333333333333333,True,
2518-6647,S4210179836,139,382,10,0.84,True,
2958-6097,S4387286325,0,0,3,0.48484848484848486,True,
2617-9954,,0,0,0,0.0,False,
2789-777X,S4210223240,24,2043,24,15.083333333333334,True,
2790-2412,S4210200638,18,1404,16,14.666666666666666,True,
2184-0261,S4210193420,133,512,9,0.34782608695652173,True,
2076-5061,S2764727883,587,5209,32,0.14285714285714285,True,
2520-0364,,0,0,0,0.0,False,
2307-9010,S4210212682,137,550,13,0.8095238095238095,True,
2309-1622,S4210218241,187,348,9,0.0,True,
2455-0477,S4210231528,59,231,9,0.75,True,
2523-0581,S4210188110,106,372,10,0.4,True,
2307-9037,S4210236154,125,666,13,0.3333333333333333,True,
2310-7588,S4210225317,26,64,4,0.0,True,
2518-6655,S4210210255,88,195,6,0.4117647058823529,True,
2664-2433,S4210203056,51,65,4,0.0,True,
2310-2977,S4210214836,188,1150,17,0.2413793103448276,True,
2519-9412,S4210180848,172,2081,16,1.0909090909090908,True,
2455-0485,S4210209860,83,289,8,0.5454545454545454,True,
2231-6302,S2764583017,158,829,16,0.5,True,
2706-6088,S4210208526,65,106,5,0.6666666666666666,True,
3006-6948,,0,0,0,0.0,False,
2518-6590,S4210218195,50,225,8,0.4,True,
2227-4324,S2764790517,367,1265,16,0.07142857142857142,True,
2227-5053,S4210236076,355,1958,22,0.0,True,
2221-1152,S2737376015,527,2460,22,0.7647058823529411,True,
2710-4001,,0,0,0,0.0,False,
2663-9971,S4210204388,9,7,2,0.0,True,
2518-0614,S4210207976,73,309,9,1.0,True,
2791-2957,S4387997392,0,0,2,0.2857142857142857,True,
2307-9029,S2764525816,159,647,14,0.0,True,
2311-7044,S4210212284,186,676,11,0.2222222222222222,True,
2310-2985,S4210195966,143,441,10,0.4,True,
2309-1630,S4210236167,103,438,8,0.25,True,
2312-7414,S4210215975,111,239,8,0.125,True,
2616-6550,S4210229883,24,88,6,0.0,True,
2663-6050,S4210204872,21,53,5,0.5,True,
2218-1768,S2764545295,177,1405,18,0.0,True,
2077-0464,S2738841077,118,685,13,0.0,True,
2519-1438,S2764786285,390,758,9,0.39285714285714285,True,
2518-6841,S4210219755,871,2599,19,0.0,True,
2413-0877,S2764445618,1981,5706,20,0.49240121580547114,True,
2307-9045,S4210211221,124,451,11,0.0,True,
2227-4332,S4210173523,131,661,13,0.0,True,
2310-2993,S4210173550,137,280,9,0.0,True,
2227-488X,S2764370675,181,982,15,0.0,True,
2309-4508,S2764736692,143,644,14,0.0,True,
2221-2590,S4210175961,269,887,14,0.2,True,
2663-905X,S4210209920,77,416,10,0.0,True,
2523-6547,S4210212456,56,101,5,0.0,True,
2409-3424;2410-2636,,0,0,0,0.0,False,
2789-5009,S4210207495,252,95,3,0.12432432432432433,True,
2414-6900,S4210191638,124,15,2,0.0,True,
2709-5045;2958-6828,,0,0,0,0.0,False,
2617-6548,S4210240683,168,951,13,1.3624161073825503,True,
2957-997X;2957-9988,,0,0,0,0.0,False,
2788-4155;2788-6441,,0,0,0,0.0,False,
2710-4990;3006-4821,,0,0,0,0.0,False,
2789-4711;2790-2080,,0,0,0,0.0,False,
2959-6491,S4387291233,0,0,1,0.0,True,
3005-3889;3005-3897,,0,0,0,0.0,False,
3006-7804,S4394906735,0,0,4,0.0,True,
2789-8601,S4387292346,0,0,2,0.26666666666666666,True,
2709-4642;2709-4650,,0,0,0,0.0,False,
2706-6428;2707-7462,,0,0,0,0.0,False,
0563-5799;3005-8481,,0,0,0,0.0,False,
0563-5780;2960-0057,,0,0,0,0.0,False,
2414-8784;2959-1856,,0,0,0,0.0,False,
2313-058X;2410-3411,,0,0,0,0.0,False,
2523-6636,,0,0,0,0.0,False,
2788-645X,S4387288699,0,0,3,0.2,True,
2731-2542,,0,0,0,0.0,False,
2521-8778;2616-4922,,0,0,0,0.0,False,
2617-9768;2706-5995,,0,0,0,0.0,False,
2790-3621,,0,0,0,0.0,False,
2616-387X,S4210183638,171,313,7,0.6379310344827587,True,
2079-3715;2309-1088,,0,0,0,0.0,False,
2309-5741,,0,0,0,0.0,False,
2616-6372;2707-6563,,0,0,0,0.0,False,
2517-9624,,0,0,0,0.0,False,
2788-6484,,0,0,0,0.0,False,
2312-8429;2411-9563,,0,0,0,0.0,False,
2411-4073;2411-9571,,0,0,0,0.0,False,
2414-8377;2414-8385,,0,0,0,0.0,False,
2220-461X,S4220651217,39,6,1,0.0,True,
0585-5047,,0,0,0,0.0,False,
2579-2822,S4210191315,167,73,3,0.1323529411764706,True,
1829-1767;2953-7983,,0,0,0,0.0,False,
1829-023X;2738-2508,,0,0,0,0.0,False,
1829-1740;2953-7975,,0,0,0,0.0,False,
1829-2453;2953-8149,,0,0,0,0.0,False,
1829-4200,S4387288875,0,0,1,0.06818181818181818,True,
2953-8009;2953-8068,,0,0,0,0.0,False,
1829-0531,S4390963394,0,0,1,0.017543859649122806,True,
2738-2699;2738-2826,,0,0,0,0.0,False,
1829-1759;2953-7991,,0,0,0,0.0,False,
1829-457X;2738-2575,,0,0,0,0.0,False,
1829-2429;2579-3039,,0,0,0,0.0,False,
2738-2796;2738-294X,,0,0,0,0.0,False,
1829-4561;2738-2605,,0,0,0,0.0,False,
1829-4553;2738-2621,,0,0,0,0.0,False,
1829-4952,S4210169485,92,12,1,0.02,True,
1829-4529;2738-2613,,0,0,0,0.0,False,
1829-0523,S4387282778,0,0,1,0.038461538461538464,True,
2579-2881;2953-7886,,0,0,0,0.0,False,
1829-1295;2953-7878,,0,0,0,0.0,False,
1829-4111,,0,0,0,0.0,False,
2738-2656,S4210204398,44,43,4,0.3409090909090909,True,
2579-2938;2738-263X,,0,0,0,0.0,False,
