PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Zhang, Lvmin; Agrawala, Maneesh										Transparent Image Layer Diffusion using Latent Transparency								Arxiv											2	2;2024-06-23;https://www.arxiv.org/abs/2402.17113v4| 1;2024-02-28;https://www.arxiv.org/abs/2402.17113v2	arXiv:2402.17113			http://arxiv.org/licenses/nonexclusive-distrib/1.0/	http://arxiv.org/licenses/nonexclusive-distrib/1.0/			preprint	Jun 23 2024	2024	We present an approach enabling large-scale pretrained latent diffusion models to generate transparent images. The method allows generation of single transparent images or of multiple transparent layers. The method learns a “latent transparency” that encodes alpha channel transparency into the latent manifold of a pretrained latent diffusion model. It preserves the production-ready quality of the large diffusion model by regulating the added transparency as a latent offset with minimal changes to the original latent distribution of the pretrained model. In this way, any latent diffusion model can be converted into a transparent image generator by finetuning it with the adjusted latent space. We train the model with 1M transparent image layer pairs collected using a human -in -the -loop collection scheme. We show that latent transparency can be applied to different open source image generators, or be adapted to various conditional control systems to achieve applications like foreground/background-conditioned layer generation, joint layer generation, structural control of layer contents, etc . A user study finds that in most cases (97%) users prefer our natively generated transparent content over previous ad -hoc solutions such as generating and then matting. Users also report the quality of our generated transparent images is comparable to real commercial transparent assets like Adobe Stock.																																	2024-07-12	PPRN:87988874		
J	Chen, Jifan; Kim, Grace; Sriram, Aniruddh; Durrett, Greg; Choi, Eunsol										Complex Claim Verification with Evidence Retrieved in the Wild								Arxiv											2	2;2024-06-15;https://www.arxiv.org/abs/2305.11859v2| 1;2023-05-19;https://www.arxiv.org/abs/2305.11859v1	arXiv:2305.11859			http://arxiv.org/licenses/nonexclusive-distrib/1.0/	http://arxiv.org/licenses/nonexclusive-distrib/1.0/			preprint	Jun 15 2024	2024	Evidence retrieval is a core part of automatic fact-checking. Prior work makes simplifying assumptions in retrieval that depart from real-world use cases: either no access to evidence, access to evidence curated by a human fact-checker, or access to evidence available long after the claim has been made. In this work, we present the first fully automated pipeline to check real-world claims by retrieving raw evidence from the web. We restrict our retriever to only search documents available prior to the claim's making, modeling the realistic scenario where an emerging claim needs to be checked. Our pipeline includes five components: claim decomposition, raw document retrieval, fine-grained evidence retrieval, claim-focused summarization, and veracity judgment. We conduct experiments on complex political claims in the ClaimDecomp dataset and show that the aggregated evidence produced by our pipeline improves veracity judgments. Human evaluation finds the evidence summary produced by our system is reliable (it does not hallucinate information) and relevant to answering key questions about a claim, suggesting that it can assist fact-checkers even when it cannot surface a complete evidence set.1																																	2024-07-04	PPRN:70569467		
J	Umeda, Hiroya; Ouchi, Masami; Nakajima, Kimihiko; Harikane, Yuichi; Ono, Yoshiaki; Xu, Yi; Isobe, Yuki; Zhang, Yechi				Nakajima, Kimihiko/JRW-3889-2023; Ono, Yoshiaki/AAY-4463-2020; Harikane, Yuichi/KHY-2680-2024; Ouchi, Masami/AAA-9826-2019						JWST Measurements of Neutral Hydrogen Fractions and Ionized Bubble Sizes at z = 7−12 Obtained with Lyα Damping Wing Absorptions in 27 Bright Continuum Galaxies								Arxiv											3	3;2024-06-13;https://www.arxiv.org/abs/2306.00487v3| 2;2023-10-11;https://www.arxiv.org/abs/2306.00487v2| 1;2023-06-01;https://www.arxiv.org/abs/2306.00487v1	arXiv:2306.00487			http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/			preprint	Jun 13 2024	2024	We present volume-averaged neutral hydrogen fractions xHi and ionized bubble radii Rb measured with Lyα damping wing absorption of galaxies at the epoch of reionization. We combine JWST/NIRSpec spectra taken by CEERS, GO-1433, DDT-2750, and JADES programs, and obtaina sample containing 27 bright UV-continuum (MUV<−18.5 mag) galaxies at 7< z <12. We construct 4 composite spectra binned by redshift, and find the clear evolution of softening break to-wards high redshift at the rest-frame 1216 A, suggesting the increase of Lyα damping wing absorption.We estimate Lyα damping wing absorption in the galaxy spectra with realistic templates including Lyα emission and circum-galactic medium absorptions. Assuming the standard inside-out reionization picture having an ionized bubble with radius Rb around a galaxy embedded in the intergalactic medium with xHi, we obtain xHi(Rb) values generally increasing (decreasing) from xHi = 0.53−0.47+0.18to 0.92−0.10+0.08(logRb= 1.67−0.16 + 0.14to −0.69−0.24+0.89 comoving Mpc) at redshift 7.12−0.08+0.06to 9.91−1.15+1.49. The redshift evolution of xHi indicates a moderately late reionization history consistent with the one previously suggested from the electron scattering of cosmic microwave background and the evolution of UV luminosity function with an escape fraction fesc∼0.2. Our Rb measurements suggest that bubble sizes could be up to a few dex larger than the cosmic average values estimated by analytic calculations fora given xHi, while our Rb measurements are roughly comparable with the values for merged ionized bubbles around bright galaxies predicted by recent numerical simulations																																	2024-07-02	PPRN:72812614		
J	Li, Ming; Zhang, Yong; He, Shwai; Li, Zhitao; Zhao, Hongyu; Wang, Jianzong; Cheng, Ning; Zhou, Tianyi				Li, Zhitao/KHV-6882-2024; WANG, JIANZONG/GZL-9336-2022; Zhao, Hongyu/AAD-2750-2021						Superfiltering: Weak-to-Strong Data Filtering for Fast Instruction-Tuning								Arxiv											2	2;2024-06-07;https://www.arxiv.org/abs/2402.00530v2| 1;2024-02-01;https://www.arxiv.org/abs/2402.00530v1	arXiv:2402.00530			http://arxiv.org/licenses/nonexclusive-distrib/1.0/	http://arxiv.org/licenses/nonexclusive-distrib/1.0/			preprint	Jun 07 2024	2024	Instruction tuning is critical to improve LLMs but usually suffers from low-quality and redundant data. Data filtering for instruction tuning has proved important in improving both the efficiency and performance of the tuning process. But it also leads to extra cost and computation due to the involvement of LLMs in this process. To reduce the filtering cost, we study Superfiltering: Can we use a smaller and weaker model to select data for finetuning a larger and stronger model? Despite the performance gap between weak and strong language models, we find their highly consistent capability to perceive instruction difficulty and data selection results. This enables us to use a much smaller and more efficient model to filter the instruction data used to train a larger language model. Not only does it largely speed up the data filtering, but the filtered-data-finetuned LLM achieves even better performance on standard benchmarks. Extensive experiments validate the efficacy and efficiency of our approach.																																	2024-07-04	PPRN:87455146		
J	Yu, Zhaojian; Zhang, Xin; Shang, Ning; Huang, Yangyu; Xu, Can; Zhao, Yishujie; Hu, Wenxiang; Yin, Qiufeng				YIN, Qiufeng/NVM-0025-2025; Hu, Wenxiang/W-3737-2017; HUANG, YANGYU/KZC-4193-2024						WaveCoder: Widespread And Versatile Enhancement For Code Large Language Models By Instruction Tuning								Arxiv											4	4;2024-06-07;https://www.arxiv.org/abs/2312.14187v5| 3;2024-01-11;https://www.arxiv.org/abs/2312.14187v3| 2;2023-12-26;https://www.arxiv.org/abs/2312.14187v2| 1;2023-12-20;https://www.arxiv.org/abs/2312.14187v1	arXiv:2312.14187			http://arxiv.org/licenses/nonexclusive-distrib/1.0/	http://arxiv.org/licenses/nonexclusive-distrib/1.0/			preprint	Jun 07 2024	2024	Recent work demonstrates that, after instruction tuning, Code Large Language Models (Code LLMs) can obtain impressive capabilities to address a wide range of code-related tasks. However, current instruction tuning methods for Code LLMs mainly focus on the traditional code generation task, resulting in poor performance in complex multi-task scenarios. In this paper, we concentrate on multiple code-related tasks and present WaveCoder, a series of Code LLMs trained with Widespread And Versatile Enhanced instruction data. To enable the models to tackle complex code-related tasks, we propose a method to stably generate diverse, high-quality instruction data from open source code dataset in multi-task scenarios and obtain CodeSeaXDataset, a dataset comprising 19,915 instruction instances across 4 code-related tasks, which is aimed at improving the generalization ability of Code LLM. Our experiments demonstrate that WaveCoder models significantly outperform other open-source models in terms of the generalization ability across different code-related tasks. Moreover, WaveCoder-Ultra-6.7B presents the state-of-the-art generalization abilities on a wide range of code-related tasks.																																	2024-06-22	PPRN:86827767		
J	Yu, Jiahao; Wu, Yuhang; Shu, Dong; Jin, Mingyu; Yang, Sabrina; Xing, Xinyu				Shu, Dong/ODJ-9505-2025; Yu, Jiahao/HIR-5202-2022						Assessing Prompt Injection Risks in 200+ Custom GPTs								Arxiv											2	2;2024-05-25;https://www.arxiv.org/abs/2311.11538v2| 1;2023-11-20;https://www.arxiv.org/abs/2311.11538v1	arXiv:2311.11538			http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/			preprint	May 25 2024	2024	In the rapidly evolving landscape of artificial intelligence, ChatGPT has been widely used in various applications. The new feature - customization of ChatGPT models by users to cater to specific needs has opened new frontiers in AI utility. However, this study reveals a significant security vulnerability inherent in these user-customized GPTs: prompt injection attacks. Through comprehensive testing of over 200 user-designed GPT models via adversarial prompts, we demonstrate that these systems are susceptible to prompt injections. Through prompt injection, an adversary can not only extract the customized system prompts but also access the uploaded files. This paper provides a first-hand analysis of the prompt injection, alongside the evaluation of the possible mitigation of such attacks. Our findings underscore the urgent need for robust security frameworks in the design and deployment of customizable GPT models. The intent of this paper is to raise awareness and prompt action in the AI community, ensuring that the benefits of GPT customization do not come at the cost of compromised security and privacy.																																	2024-06-11	PPRN:86213219		
J	Wang, Zhao; Li, Aoxue; Zhu, Lingting; Guo, Yong; Dou, Qi; Li, Zhenguo				Wang, Zhao/AAG-2483-2021						CustomVideo: Customizing Text-to-Video Generation with Multiple Subjects								Arxiv											2	2;2024-05-22;https://www.arxiv.org/abs/2401.09962v2| 1;2024-01-18;https://www.arxiv.org/abs/2401.09962v1	arXiv:2401.09962			http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/			preprint	May 22 2024	2024	Customized text-to-video generation aims to generate high-quality videos guided by text prompts and subject references. Current approaches for personalizing text-to-video generation suffer from tackling multiple subjects, which is a more challenging and practical scenario. In this work, our aim is to promote multi-subject guided text-to-video customization. We propose CustomVideo, a novel framework that can generate identity-preserving videos with the guidance of multiple subjects. To be specific, firstly, we encourage the co-occurrence of multiple subjects via composing them in a single image. Further, upon a basic text-to-video diffusion model, we design a simple yet effective attention control strategy to disentangle different subjects in the latent space of diffusion model. Moreover, to help the model focus on the specific area of the object, we segment the object from given reference images and provide a corresponding object mask for attention learning. Also, we collect a multi-subject text-to-video generation dataset as a comprehensive benchmark, with 63 individual subjects from 13 different categories and 68 meaningful pairs. Extensive qualitative, quantitative, and user study results demonstrate the superiority of our method compared to previous state-of-the-art approaches. 																																	2024-06-05	PPRN:87221722		
J	Lee, Dongjun; Park, Choongwon; Kim, Jaehyuk; Park, Heesoo										MCS-SQL: Leveraging Multiple Prompts and Multiple-Choice Selection For Text-to-SQL Generation								Arxiv											1	1;2024-05-13;https://www.arxiv.org/abs/2405.07467v1	arXiv:2405.07467			http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/			preprint	May 13 2024	2024	Recent advancements in large language models (LLMs) have enabled in-context learning (ICL)-based methods that significantly outperform fine-tuning approaches for text-to-SQL tasks. However, their performance is still considerably lower than that of human experts on benchmarks that include complex schemas and queries, such as BIRD. This study considers the sensitivity of LLMs to the prompts and introduces a novel approach that leverages multiple prompts to explore a broader search space for possible answers and effectively aggregate them. Specifically, we robustly refine the database schema through schema linking using multiple prompts. Thereafter, we generate various candidate SQL queries based on the refined schema and diverse prompts. Finally, the candidate queries are filtered based on their confidence scores, and the optimal query is obtained through a multiple-choice selection that is presented to the LLM. When evaluated on the BIRD and Spider benchmarks, the proposed method achieved execution accuracies of 65.5% and 89.6%, respectively, significantly outperforming previous ICL-based methods. Moreover, we established a new SOTA performance on the BIRD in terms of both the accuracy and efficiency of the generated queries.																																	2024-06-08	PPRN:89032852		
J	Merrick, Luke; Xu, Danmei; Nuti, Gaurav; Campos, Daniel										Arctic-Embed: Scalable, Efficient, and Accurate Text Embedding Models								Arxiv											1	1;2024-05-08;https://www.arxiv.org/abs/2405.05374v1	arXiv:2405.05374			http://arxiv.org/licenses/nonexclusive-distrib/1.0/	http://arxiv.org/licenses/nonexclusive-distrib/1.0/			preprint	May 08 2024	2024	This report describes the training dataset creation and recipe behind the family of texttt{arctic-embed} text embedding models (a set of five models ranging from 22 to 334 million parameters with weights open-sourced under an Apache-2 license). At the time of their release, each model achieved state-of-the-art retrieval accuracy for models of their size on the MTEB Retrieval leaderboard, with the largest model, arctic-embed-l outperforming closed source embedding models such as Cohere's embed-v3 and Open AI's text-embed-3-large. In addition to the details of our training recipe, we have provided several informative ablation studies, which we believe are the cause of our model performance.																																	2024-06-04	PPRN:88975377		
J	Hong, Fangzhou; Tang, Jiaxiang; Cao, Ziang; Shi, Min; Wu, Tong; Chen, Zhaoxi; Yang, Shuai; Wang, Tengfei; Pan, Liang; Lin, Dahua; Liu, Ziwei				Hong, Fangzhou/JXX-7529-2024; Lin, Dahua/W-6576-2019; Liu, Ziwei/AAG-6939-2021						3DTopia: Large Text-to-3D Generation Model with Hybrid Diffusion Priors								Arxiv											2	2;2024-05-07;https://www.arxiv.org/abs/2403.02234v2| 1;2024-03-04;https://www.arxiv.org/abs/2403.02234v1	arXiv:2403.02234			http://creativecommons.org/licenses/by-nc-sa/4.0/	http://creativecommons.org/licenses/by-nc-sa/4.0/			preprint	May 07 2024	2024	We present a two -stage text -to -3D generation system, namely 3DTopia, which generates highquality general 3D assets within 5 minutes using hybrid diffusion priors. The first stage samples from a 3D diffusion prior directly learned from 3D data. Specifically, it is powered by a text -conditioned tri-plane latent diffusion model, which quickly generates coarse 3D samples for fast prototyping. The second stage utilizes 2D diffusion priors to further refine the texture of coarse 3D models from the first stage. The refinement consists of both latent and pixel space optimization for highquality texture generation. To facilitate the training of the proposed system, we clean and caption the largest open -source 3D dataset, Objaverse, by combining the power of vision language models and large language models. Experiment results are reported qualitatively and quantitatively to show the performance of the proposed system. 																																	2024-06-04	PPRN:88014363		
